"species","centroid_hist_X","centroid_hist_Y","centroid_rec_X","centroid_rec_Y","Eucl_distance","NS_shift","EW_shift","shift_direction","n_routes_hist","n_routes_rec","D","shift_p_D_NA","shift_p_E_NA","shift_p_S_NA","shift_p_U_NA","shift_p_D_A","shift_p_E_A","shift_p_S_A","shift_p_U_A","cons_p_D_NA","cons_p_E_NA","cons_p_S_NA","cons_p_U_NA","cons_p_D_A","cons_p_E_A","cons_p_S_A","cons_p_U_A","rS_NA","rE_NA","rU_NA","rS_A","rE_A","rU_A","range_stability_std","range_unfilling_std","range_expansion_std"
"Pooecetes gramineus",418622.250528985,642998.90833953,191151.269306481,671882.992713212,229297.487182993,28884.0843736816,-227470.981222504,-79.6206049033884,207,152,0.761301681688556,0.996003996003996,1,1,1,0.998001998001998,1,1,1,0.00799200799200799,0.286713286713287,0.286713286713287,0.000999000999000999,0.00599400599400599,0.267732267732268,0.267732267732268,0.000999000999000999,1,0,0.0667391789571763,1,0,0.0557228727472872,0.933260821042824,0.0667391789571763,0
"Porzana carolina",-365252.146711688,936002.398884068,-515677.129196959,979301.131726649,156532.60242348,43298.7328425816,-150424.982485271,-76.6287807017401,41,38,0.833198946116238,0.999000999000999,0.983016983016983,0.983016983016983,0.991008991008991,0.999000999000999,0.983016983016983,0.983016983016983,1,0.001998001998002,0.021978021978022,0.021978021978022,0.00899100899100899,0.001998001998002,0.00799200799200799,0.00799200799200799,0.000999000999000999,0.999864506221963,0.000135493778037257,0.104203400227291,0.999864506221963,0.000135493778037257,0.0939357238696509,0.895687871045625,0.104190752375014,0.000121376579361422
"Progne subis",670629.758958687,180564.777144289,629225.559067831,34694.0010429511,151633.080457428,-145870.776101338,-41404.1998908569,-159.073654336335,308,236,0.789654298918656,0.998001998001998,0.952047952047952,0.952047952047952,1,0.996003996003996,0.943056943056943,0.943056943056943,1,0.003996003996004,0.051948051948052,0.051948051948052,0.000999000999000999,0.003996003996004,0.0559440559440559,0.0559440559440559,0.000999000999000999,0.998699531565965,0.00130046843403479,0.0367699671402524,0.998699531565965,0.00130046843403479,0.0346184931565119,0.962023384816205,0.0367239050290253,0.00125271015477005
"Protonotaria citrea",914146.915091221,-254474.071434457,862894.740815867,-99649.1709034772,163087.507775363,154824.90053098,-51252.1742753538,-12.4507894310175,58,60,0.744298388285885,0.951048951048951,0.816183816183816,0.816183816183816,0.998001998001998,0.953046953046953,0.802197802197802,0.802197802197802,0.998001998001998,0.048951048951049,0.207792207792208,0.207792207792208,0.002997002997003,0.0559440559440559,0.183816183816184,0.183816183816184,0.000999000999000999,0.959648436845087,0.0403515631549126,0.0265149229289335,0.959648436845087,0.0403515631549126,0.0265149229289335,0.935204024672009,0.0254722575836635,0.0393237177443272
"Psaltriparus minimus",-2009094.72533736,340261.751405599,-1900595.36248867,215989.302682422,164971.977166511,-124272.448723177,108499.362848697,124.214551674247,28,24,0.674258267196939,0.978021978021978,0.966033966033966,0.966033966033966,0.996003996003996,0.985014985014985,1,1,1,0.018981018981019,0.025974025974026,0.025974025974026,0.002997002997003,0.018981018981019,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.796168944072738,0.203831055927262,0.0110406787831671,0.84321887586978,0.15678112413022,0.0105911948293473,0.789154638313556,0.00881007204739823,0.202035289639046
"Quiscalus mexicanus",-350811.930596786,-489859.061929522,-518275.128116849,-311926.890372176,244343.56999675,177932.171557347,-167463.197520064,-46.0077936098108,27,38,0.47456520104167,0.95004995004995,0.951048951048951,0.951048951048951,1,0.95004995004995,0.982017982017982,0.982017982017982,1,0.0579420579420579,0.0579420579420579,0.0579420579420579,0.015984015984016,0.0579420579420579,0.015984015984016,0.015984015984016,0.000999000999000999,0.619305308919909,0.380694691080091,0.000344573387928439,0.69901499310475,0.300985006895249,0,0.619173134226339,0.000213424124848405,0.380613441648812
"Quiscalus quiscula",778416.747051317,317684.706278268,774467.696011446,326970.886300816,10090.9931883183,9286.18002254859,-3949.05103987083,-17.7824108333385,451,440,0.961702681706198,1,0.858141858141858,0.858141858141858,1,1,0.892107892107892,0.892107892107892,1,0.000999000999000999,0.13986013986014,0.13986013986014,0.000999000999000999,0.000999000999000999,0.111888111888112,0.111888111888112,0.000999000999000999,0.995970776479169,0.00402922352083079,0.000554206803471658,0.995970776479169,0.00402922352083079,0.000554206803471658,0.995421025496918,0.000551975012956653,0.00402699949012567
"Regulus satrapa",-781663.461717008,907625.005397589,-76773.7298386626,893508.411366034,705031.071892989,-14116.5940315551,704889.731878345,84.6410633162506,29,43,0.697991835042376,0.996003996003996,0.839160839160839,0.839160839160839,1,0.997002997002997,0.855144855144855,0.855144855144855,1,0.004995004995005,0.144855144855145,0.144855144855145,0.000999000999000999,0.004995004995005,0.162837162837163,0.162837162837163,0.000999000999000999,0.941890909193713,0.058109090806287,0.07097760383202,0.942500150896214,0.0574998491037856,0.0652664437852259,0.87866174055494,0.0671300338729242,0.0542082255721361
"Riparia riparia",676255.591905896,716320.622614718,257927.483983054,716887.953282182,418328.492625581,567.330667464179,-418328.107922842,-84.6412662171958,139,78,0.760273039711595,0.995004995004995,0.882117882117882,0.882117882117882,1,0.992007992007992,0.884115884115884,0.884115884115884,1,0.00899100899100899,0.112887112887113,0.112887112887113,0.001998001998002,0.004995004995005,0.101898101898102,0.101898101898102,0.000999000999000999,0.998611419536004,0.00138858046399598,0.0345454616363477,0.998611419536004,0.00138858046399598,0.0314475032981972,0.964160176999994,0.0344991473780838,0.00134067562192226
"Salpinctes obsoletus",-1554620.29208639,575089.560285464,-1565596.46354447,536693.66312213,39933.9612216765,-38395.8971633336,-10976.1714580755,-175.316976498986,39,31,0.907424360809759,1,0.979020979020979,0.979020979020979,1,1,0.991008991008991,0.991008991008991,1,0.000999000999000999,0.017982017982018,0.017982017982018,0.000999000999000999,0.000999000999000999,0.010989010989011,0.010989010989011,0.000999000999000999,0.997989000595502,0.00201099940449787,0.0538051962156206,0.997989000595502,0.00201099940449787,0.0538051962156206,0.94439419214326,0.0537028047606357,0.00190300309610437
