species,D,shift_p_D_NA,shift_p_E_NA,shift_p_S_NA,shift_p_U_NA,shift_p_D_A,shift_p_E_A,shift_p_S_A,shift_p_U_A,cons_p_D_NA,cons_p_E_NA,cons_p_S_NA,cons_p_U_NA,cons_p_D_A,cons_p_E_A,cons_p_S_A,cons_p_U_A,nS_NA,nE_NA,nU_NA,nS_A,nE_A,nU_A,n_centroid_hist_X,n_centroid_hist_Y,n_centroid_rec_X,n_centroid_rec_Y,n_centroids_dist,niche_stability_std,niche_unfilling_std,niche_expansion_std,niche_abandonment_std,niche_pioneering_std
Chordeiles minor,0.803884349,0.997002997,0.975024975,0.975024975,0.999000999,1,1,1,0.999000999,0.001998002,0.032967033,0.032967033,0.003996004,0.002997003,0.000999001,0.000999001,0.000999001,0.982974761,0.017025239,0.015524555,0.997500045,0.002499955,0.01460633,0.330006482,-1.424020356,0.092234337,-1.757518236,0.409580797,0.967970359,0.014348067,0.002425947,0.000916213,0.014339414
Circus hudsonius,0.800763718,1,0.98001998,0.98001998,1,1,0.993006993,0.993006993,1,0.000999001,0.026973027,0.026973027,0.000999001,0.003996004,0.006993007,0.006993007,0.000999001,0.966472688,0.033527312,0.049199285,0.975730228,0.024269772,0.039308887,2.896449128,-1.165648576,2.44758765,-1.452291363,0.532579303,0.920441209,0.03766197,0.022894543,0.009966359,0.009035918
Cistothorus palustris,0.642235026,0.998001998,0.967032967,0.967032967,0.997002997,1,1,1,1,0.003996004,0.036963037,0.036963037,0.005994006,0.001998002,0.000999001,0.000999001,0.000999001,0.971110348,0.028889652,0.056828659,0.999558496,0.000441504,0.047351859,-3.218815891,-0.254005826,-2.067492573,-0.816969673,1.281590292,0.917429649,0.045601306,0.000405227,0.009676346,0.026887472
Coccyzus americanus,0.854644794,0.998001998,0.818181818,0.818181818,0.941058941,0.998001998,1,1,0.941058941,0.000999001,0.175824176,0.175824176,0.052947053,0.006993007,0.000999001,0.000999001,0.05994006,0.973363503,0.026636497,0.021543141,0.994692802,0.005307198,0.021040665,0.001236277,0.061092956,-1.455721999,-0.344583269,1.512382432,0.952941026,0.020481456,0.005084431,0.000499891,0.020993196
Coccyzus erythropthalmus,0.747203954,0.988011988,0.69030969,0.69030969,0.97002997,0.987012987,0.712287712,0.712287712,0.994005994,0.005994006,0.321678322,0.321678322,0.025974026,0.012987013,0.271728272,0.271728272,0.002997003,0.942776203,0.057223797,0.049843436,0.950809525,0.049190475,0.044481159,1.692764769,0.768849776,0.721501271,1.137515729,1.038877937,0.898347291,0.041819718,0.046476323,0.0053059,0.008050768
Colaptes auratus auratus,0.82648909,0.997002997,0.708291708,0.708291708,0.992007992,1,0.97002997,0.97002997,1,0.004995005,0.327672328,0.327672328,0.015984016,0.000999001,0.030969031,0.030969031,0.000999001,0.964821421,0.035178579,0.014392863,0.992082321,0.007917679,0.009586166,0.748804344,0.229741755,-0.479008992,0.811808046,1.358796068,0.9514166,0.009208714,0.007593132,0.004684863,0.027096691
Colaptes auratus cafer,0.679333013,1,0.577422577,0.577422577,1,1,0.655344655,0.655344655,1,0.000999001,0.423576424,0.423576424,0.000999001,0.000999001,0.354645355,0.354645355,0.000999001,0.99223867,0.00776133,0.103780239,0.995597612,0.004402388,0.015263266,-0.625654215,0.702884066,-0.335139007,-0.205754279,0.953951115,0.889980758,0.013794563,0.003935366,0.089263213,0.003026099
Colinus virginianus,0.816228108,0.992007992,0.87012987,0.87012987,0.87012987,0.991008991,1,1,0.866133866,0.018981019,0.117882118,0.117882118,0.121878122,0.011988012,0.000999001,0.000999001,0.118881119,0.975302988,0.024697012,0.051576488,0.995555511,0.004444489,0.050827047,-0.401784635,0.39289617,-1.9144425,0.26719669,1.517871594,0.92618004,0.049595804,0.004134774,0.000771055,0.019318327
Contopus cooperi,0.678955011,1,0.623376623,0.623376623,1,1,1,1,1,0.000999001,0.415584416,0.415584416,0.000999001,0.000999001,0.000999001,0.000999001,0.000999001,0.952194043,0.047805957,0.08861577,1,0,0.009136539,-3.032117809,0.832840076,-3.673136978,-0.852149167,1.802801798,0.871506653,0.008035975,0,0.076702415,0.043754957
Contopus sordidulus,0.644172064,0.98001998,0.71028971,0.71028971,0.982017982,0.982017982,0.743256743,0.743256743,1,0.023976024,0.263736264,0.263736264,0.01998002,0.01998002,0.254745255,0.254745255,0.000999001,0.985961058,0.014038942,0.141242494,0.985961058,0.014038942,0.062074319,-1.361983232,0.814074217,-1.107892509,-0.37811406,1.218964718,0.848383716,0.056148203,0.01208,0.083388081,0
