"species","centroid_hist_X","centroid_hist_Y","centroid_rec_X","centroid_rec_Y","Eucl_distance","NS_shift","EW_shift","shift_direction","n_routes_hist","n_routes_rec","D","shift_p_D_NA","shift_p_E_NA","shift_p_S_NA","shift_p_U_NA","shift_p_D_A","shift_p_E_A","shift_p_S_A","shift_p_U_A","cons_p_D_NA","cons_p_E_NA","cons_p_S_NA","cons_p_U_NA","cons_p_D_A","cons_p_E_A","cons_p_S_A","cons_p_U_A","rS_NA","rE_NA","rU_NA","rS_A","rE_A","rU_A","range_stability_std","range_unfilling_std","range_expansion_std"
"Leiothlypis ruficapilla",296816.293613602,880840.290834411,33883.574023595,897988.082504648,263491.293575638,17147.7916702373,-262932.719590007,-83.8035314708979,78,61,0.909264301671215,1,1,1,1,1,1,1,1,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.998850004597846,0.00114999540215388,0.0338120457815536,0.998850004597846,0.00114999540215388,0.0338120457815536,0.965114369728381,0.03377447536084,0.00111115491077876
"Loxia curvirostra",-1229338.38708414,910233.41966567,-678500.3617166,915951.605425575,550867.70448012,5718.18575990468,550838.025367542,79.6455317523502,22,29,0.73821583578535,0.996003996003996,0.83016983016983,0.83016983016983,1,0.997002997002997,0.823176823176823,0.823176823176823,1,0.00599400599400599,0.181818181818182,0.181818181818182,0.001998001998002,0.00899100899100899,0.167832167832168,0.167832167832168,0.000999000999000999,0.834356421015563,0.165643578984437,0.0241721152951093,0.834356421015563,0.165643578984437,0.0241721152951093,0.817461340394055,0.0202492366522969,0.162289422953648
"Mareca strepera",-849384.386114475,915900.604104571,-943408.568768003,845934.583374789,117199.790871931,-69966.0207297821,-94024.1826535285,-133.049903127047,25,31,0.632357957353062,0.998001998001998,0.996003996003996,0.996003996003996,1,0.994005994005994,0.992007992007992,0.992007992007992,1,0.003996003996004,0.00599400599400599,0.00599400599400599,0.002997002997003,0.003996003996004,0.00699300699300699,0.00699300699300699,0.002997002997003,0.727732416120674,0.272267583879326,0,0.727732416120674,0.272267583879326,0,0.727732416120674,0,0.272267583879326
"Megaceryle alcyon",627738.473114235,370346.674484038,657121.165022601,443145.603120708,78504.9463054969,72798.9286366703,29382.6919083656,26.8677666200773,274,176,0.848298733172519,1,1,1,1,1,1,1,1,0.000999000999000999,0.0639360639360639,0.0639360639360639,0.000999000999000999,0.001998001998002,0.0699300699300699,0.0699300699300699,0.001998001998002,1,0,0.0230994950220218,1,0,0.0230994950220218,0.976900504977978,0.0230994950220218,0
"Megascops asio",890926.411627661,-11906.1261119552,871939.439393703,44024.2568085677,59065.3269545629,55930.3829205229,-18986.9722339578,-12.8885308560083,24,20,0.712014781719859,0.965034965034965,0.937062937062937,0.937062937062937,1,0.962037962037962,0.936063936063936,0.936063936063936,1,0.035964035964036,0.0629370629370629,0.0629370629370629,0.000999000999000999,0.031968031968032,0.0589410589410589,0.0589410589410589,0.000999000999000999,0.911407593712463,0.0885924062875366,0.097774709207913,0.911407593712463,0.0885924062875366,0.097774709207913,0.829480017441223,0.0898912592307055,0.0806287233280717
"Melanerpes carolinus",813440.852854144,85503.4839266644,873146.276523455,230028.852986306,156372.375812857,144525.369059641,59705.4236693112,28.5443349623095,278,380,0.831832305491955,0.991008991008991,0.921078921078921,0.921078921078921,1,0.981018981018981,0.928071928071928,0.928071928071928,1,0.022977022977023,0.0729270729270729,0.0729270729270729,0.000999000999000999,0.022977022977023,0.0859140859140859,0.0859140859140859,0.000999000999000999,0.95614311391832,0.0438568860816805,0,0.95614311391832,0.0438568860816805,0,0.956143113918319,0,0.0438568860816805
"Melanerpes erythrocephalus",555755.488304331,247737.570804583,591009.199016795,119812.131440988,132694.167751891,-127925.439363595,35253.7107124644,168.312187235824,252,219,0.825768652969832,0.995004995004995,0.944055944055944,0.944055944055944,0.999000999000999,0.997002997002997,0.926073926073926,0.926073926073926,0.996003996003996,0.004995004995005,0.0779220779220779,0.0779220779220779,0.00599400599400599,0.00699300699300699,0.0809190809190809,0.0809190809190809,0.00599400599400599,0.991728581163544,0.00827141883645617,0.0404522469851948,0.991728581163544,0.00827141883645617,0.0404522469851948,0.951929444847224,0.0401310772647342,0.00793947788804137
"Meleagris gallopavo",658227.310612014,50222.6358029377,674469.055482205,327829.229960945,278081.310764382,277606.594158007,16241.7448701907,8.04550055652895,52,329,0.627067402205778,0.88011988011988,0.793206793206793,0.793206793206793,1,0.872127872127872,0.791208791208791,0.791208791208791,1,0.133866133866134,0.220779220779221,0.220779220779221,0.000999000999000999,0.142857142857143,0.22977022977023,0.22977022977023,0.002997002997003,0.893217128423305,0.106782871576695,0,0.893217128423305,0.106782871576695,0,0.893217128423305,0,0.106782871576695
"Melospiza georgiana",1091239.93608014,765892.937537882,1046289.91971497,808914.328811232,62220.1259909016,43021.3912733499,-44950.0163651695,-38.2354182681065,112,103,0.864363803908548,0.998001998001998,0.996003996003996,0.996003996003996,0.999000999000999,0.999000999000999,0.992007992007992,0.992007992007992,0.999000999000999,0.002997002997003,0.003996003996004,0.003996003996004,0.001998001998002,0.004995004995005,0.00999000999000999,0.00999000999000999,0.001998001998002,0.955817170881774,0.0441828291182263,0.0128861177303302,0.955817170881774,0.0441828291182263,0.0128861177303302,0.94403788166683,0.0123237890820452,0.0436383292511252
"Melospiza melodia",639098.962926468,561662.185462067,610906.702940002,550396.962451055,30359.6569913487,-11265.2230110123,-28192.2599864663,-106.843840047241,358,370,0.945091428001257,1,0.716283716283716,0.716283716283716,1,1,0.731268731268731,0.731268731268731,1,0.001998001998002,0.288711288711289,0.288711288711289,0.001998001998002,0.001998001998002,0.258741258741259,0.258741258741259,0.001998001998002,0.999867857728081,0.000132142271918879,0.00171719637309897,0.999867857728081,0.000132142271918879,0.00171719637309897,0.998151114763904,0.00171696984847379,0.000131915387622285
