"species","centroid_hist_X","centroid_hist_Y","centroid_rec_X","centroid_rec_Y","Eucl_distance","NS_shift","EW_shift","shift_direction","n_routes_hist","n_routes_rec","D","shift_p_D_NA","shift_p_E_NA","shift_p_S_NA","shift_p_U_NA","shift_p_D_A","shift_p_E_A","shift_p_S_A","shift_p_U_A","cons_p_D_NA","cons_p_E_NA","cons_p_S_NA","cons_p_U_NA","cons_p_D_A","cons_p_E_A","cons_p_S_A","cons_p_U_A","rS_NA","rE_NA","rU_NA","rS_A","rE_A","rU_A","range_stability_std","range_unfilling_std","range_expansion_std"
"Falco mexicanus",-1292165.96929967,490070.450408642,-1394321.65713206,477069.606593206,102979.641174466,-13000.8438154361,-102155.687832389,-106.322790459057,46,50,0.822857003097637,1,0.978021978021978,0.978021978021978,1,1,0.971028971028971,0.971028971028971,1,0.001998001998002,0.01998001998002,0.01998001998002,0.001998001998002,0.001998001998002,0.028971028971029,0.028971028971029,0.000999000999000999,0.980471141956305,0.019528858043695,0.0460637884397769,0.980926701740601,0.0190732982593992,0.0460017398930382,0.936149061294997,0.0452048803525959,0.018646058352407
"Falco sparverius",-2891.82243273329,466433.287144459,-31591.3769695327,420863.631228263,53854.0432180467,-45569.6559161962,-28699.5545367994,-147.40701228095,514,475,0.928869834639612,1,0.985014985014985,0.985014985014985,1,1,1,1,1,0.001998001998002,0.014985014985015,0.014985014985015,0.000999000999000999,0.001998001998002,0.002997002997003,0.002997002997003,0.000999000999000999,0.997348841464942,0.00265115853505815,0.00333907084143674,0.998486261014513,0.00151373898548662,0.00333907084143674,0.994027422564145,0.00333024791598347,0.00264232951987183
"Fulica americana",-1012834.48021212,689736.532326934,-1055568.81402377,693934.711681187,42940.0511901833,4198.17935425288,-42734.3338116448,-91.9044242724067,111,96,0.877934350748466,1,0.641358641358641,0.641358641358641,1,1,0.613386613386613,0.613386613386613,1,0.000999000999000999,0.355644355644356,0.355644355644356,0.000999000999000999,0.000999000999000999,0.353646353646354,0.353646353646354,0.000999000999000999,0.992711566240487,0.00728843375951301,0.0729589369750988,0.992711566240487,0.00728843375951301,0.0641847468162247,0.920774013100062,0.0724657147018651,0.0067602721980727
"Gallinago delicata",-584938.679747449,875483.496513669,-656710.180975566,892526.686258767,73767.3281692168,17043.1897450971,-71771.5012281166,-81.0986288349409,183,156,0.894460396377854,1,0.989010989010989,0.989010989010989,1,1,0.984015984015984,0.984015984015984,1,0.000999000999000999,0.016983016983017,0.016983016983017,0.000999000999000999,0.000999000999000999,0.016983016983017,0.016983016983017,0.000999000999000999,0.997922450701508,0.00207754929849224,0.0367659658537274,0.998437419357537,0.00156258064246334,0.0367659658537274,0.961306295515563,0.0366923854255458,0.00200131905889139
"Gallinula galeata",669545.923971447,-471783.881867307,779122.939194221,-804962.77106039,350735.362444491,-333178.889193083,109577.015222774,166.078013565022,22,23,0.531423803050746,1,0.886113886113886,0.886113886113886,1,1,0.904095904095904,0.904095904095904,1,0.000999000999000999,0.121878121878122,0.121878121878122,0.000999000999000999,0.000999000999000999,0.100899100899101,0.100899100899101,0.000999000999000999,0.94856841756511,0.0514315824348903,0.433920490788831,0.95631700400687,0.0436829959931295,0.354074316673735,0.549222256825603,0.420998794967887,0.0297789482065099
"Gavia immer",621295.145206227,1012157.18096161,733290.813101396,1028591.07977779,113194.976291287,16433.8988161737,111995.667895168,86.4067720815743,49,51,0.875388448183056,1,0.937062937062937,0.937062937062937,1,1,0.933066933066933,0.933066933066933,1,0.000999000999000999,0.0569430569430569,0.0569430569430569,0.000999000999000999,0.001998001998002,0.0559440559440559,0.0559440559440559,0.000999000999000999,0.968026093269135,0.0319739067308647,0.0400682163786966,0.968026093269135,0.0319739067308647,0.0361514334056037,0.930431024299589,0.0388368342867534,0.030732141413658
"Geococcyx californianus",-734609.076028908,-521980.788898067,-630541.050647573,-450504.512863678,126249.799772175,71476.2760343886,104068.025381335,51.1459509155158,58,81,0.856333055069169,0.995004995004995,0.948051948051948,0.948051948051948,0.997002997002997,0.996003996003996,0.952047952047952,0.952047952047952,1,0.003996003996004,0.03996003996004,0.03996003996004,0.002997002997003,0.00599400599400599,0.046953046953047,0.046953046953047,0.000999000999000999,0.970423332148986,0.0295766678510134,0.0206218688832333,0.970423332148986,0.0295766678510134,0.0177808430569713,0.950991423985716,0.0200241559734956,0.0289844200407885
"Geothlypis formosa",973685.928450307,-48586.4997134619,861192.478472466,-100002.581235885,123686.659454597,-51416.0815224234,-112493.449977841,-107.615656350393,197,163,0.893983282864097,0.999000999000999,0.964035964035964,0.964035964035964,1,0.999000999000999,0.974025974025974,0.974025974025974,1,0.003996003996004,0.023976023976024,0.023976023976024,0.001998001998002,0.001998001998002,0.026973026973027,0.026973026973027,0.000999000999000999,0.992602760386388,0.00739723961361185,0.0275237495265923,0.992602760386388,0.00739723961361185,0.0275237495265923,0.9654791819698,0.0273257132652235,0.00719510476497614
"Geothlypis philadelphia",934899.07592316,883090.337513699,862911.01651225,923632.74742536,82619.4147836559,40542.4099116606,-71988.0594109097,-53.4644437253542,87,74,0.894895955239593,1,1,1,1,1,1,1,1,0.000999000999000999,0.14985014985015,0.14985014985015,0.000999000999000999,0.000999000999000999,0.135864135864136,0.135864135864136,0.000999000999000999,1,0,0.0828142120883541,1,0,0.0806364538211359,0.917185787911646,0.0828142120883541,0
"Geothlypis tolmiei",-1593377.62072605,868885.598478039,-1579368.35607744,820779.341113672,50104.6055128827,-48106.257364367,14009.2646486131,151.467263101038,84,86,0.92329334151549,0.998001998001998,0.982017982017982,0.982017982017982,1,0.999000999000999,0.986013986013986,0.986013986013986,1,0.001998001998002,0.013986013986014,0.013986013986014,0.001998001998002,0.001998001998002,0.014985014985015,0.014985014985015,0.000999000999000999,0.982925308932337,0.0170746910676634,0.000451506844320092,0.982925308932337,0.0170746910676634,0.000370449694899401,0.98248908577019,0.000443800925850568,0.017067113303959
"Geothlypis trichas",605065.705478732,388039.798982004,565929.712876519,395280.431132194,39800.1591817771,7240.63215018954,-39135.9926022126,-75.3812158657842,712,710,0.969697977031179,1,0.856143856143856,0.856143856143856,1,1,0.848151848151848,0.848151848151848,1,0.000999000999000999,0.144855144855145,0.144855144855145,0.000999000999000999,0.002997002997003,0.160839160839161,0.160839160839161,0.002997002997003,0.999253660090341,0.000746339909659059,0.000676137854094178,0.999253660090341,0.000746339909659059,0.000676137854094178,0.998578530776263,0.000675633566373301,0.000745835657364169
"Gymnorhinus cyanocephalus",-1290534.66712572,232933.09293041,-1266030.32677574,177637.328269462,60482.0988841043,-55295.7646609481,24504.340349979,146.522868712428,43,41,0.857414047625215,0.998001998001998,1,1,1,0.999000999000999,1,1,1,0.00599400599400599,0.001998001998002,0.001998001998002,0.000999000999000999,0.002997002997003,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.998176588925085,0.00182341107491548,0.0709953945593636,0.998176588925085,0.00182341107491548,0.0709953945593636,0.927430707573287,0.0708751158229245,0.00169417660378804
"Haemorhous cassinii",-1445642.78950611,765091.515840563,-1546570.901027,769344.2040793,101017.667031216,4252.68823873647,-100928.111520893,-98.273355731113,80,67,0.886277317594315,0.997002997002997,0.995004995004995,0.995004995004995,1,0.998001998001998,1,1,1,0.000999000999000999,0.003996003996004,0.003996003996004,0.000999000999000999,0.003996003996004,0.000999000999000999,0.000999000999000999,0.002997002997003,0.990652297682175,0.00934770231782486,0.0308187793405936,0.994505949291232,0.00549405070876779,0.0308187793405936,0.960398279238913,0.030539492528355,0.00906222823273237
"Haemorhous mexicanus",332662.870083991,364197.103471116,320175.455321708,273208.578864771,91841.4238646415,-90988.524606345,-12487.4147622832,-169.609696453645,649,627,0.907286502508373,0.994005994005994,0.757242757242757,0.757242757242757,1,0.999000999000999,0.763236763236763,0.763236763236763,1,0.002997002997003,0.220779220779221,0.220779220779221,0.001998001998002,0.002997002997003,0.225774225774226,0.225774225774226,0.000999000999000999,0.99798890828283,0.00201109171716971,0.00884784318331085,0.99798890828283,0.00201109171716971,0.00884784318331085,0.989176460155637,0.00883020648231136,0.00199333336205223
"Haemorhous purpureus",508388.970071379,852137.921552377,464732.652394064,873650.447725398,48668.91056401,21512.5261730214,-43656.3176773153,-59.9018965962105,175,161,0.955503438407926,1,0.905094905094905,0.905094905094905,1,1,0.901098901098901,0.901098901098901,1,0.000999000999000999,0.120879120879121,0.120879120879121,0.000999000999000999,0.000999000999000999,0.0929070929070929,0.0929070929070929,0.000999000999000999,0.999572968980814,0.000427031019185704,0.00141442569926678,0.999572968980814,0.000427031019185704,0.00117301973990086,0.998159750177326,0.00141382254957284,0.000426427273101413
"Haliaeetus leucocephalus",-60884.7593420688,662497.518999285,47873.3672154521,624774.39470665,115114.569880182,-37723.1242926347,108758.126557521,108.437767920727,53,196,0.851025881768157,0.988011988011988,0.89010989010989,0.89010989010989,1,0.991008991008991,0.925074925074925,0.925074925074925,1,0.00599400599400599,0.108891108891109,0.108891108891109,0.000999000999000999,0.00999000999000999,0.117882117882118,0.117882117882118,0.000999000999000999,0.996162190772402,0.00383780922759764,0.025501011133914,0.997247212124252,0.00275278787574816,0.0224549858432369,0.970854063215171,0.0254056295166232,0.00374030726820582
