species,centroid_hist_X,centroid_hist_Y,centroid_rec_X,centroid_rec_Y,Eucl_distance,NS_shift,EW_shift,shift_direction,n_routes_hist,n_routes_rec,D,shift_p_D_NA,shift_p_E_NA,shift_p_S_NA,shift_p_U_NA,shift_p_D_A,shift_p_E_A,shift_p_S_A,shift_p_U_A,cons_p_D_NA,cons_p_E_NA,cons_p_S_NA,cons_p_U_NA,cons_p_D_A,cons_p_E_A,cons_p_S_A,cons_p_U_A,rS_NA,rE_NA,rU_NA,rS_A,rE_A,rU_A,range_stability_std,range_unfilling_std,range_expansion_std
Aquila chrysaetos,-1314889.81,683421.5375,-1220532.563,516281.4923,191935.1057,-167140.0452,94357.24715,140.3362544,44,46,0.72721448,0.949050949,0.711288711,0.711288711,0.954045954,0.945054945,0.699300699,0.699300699,0.959040959,0.035964036,0.307692308,0.307692308,0.037962038,0.041958042,0.312687313,0.312687313,0.040959041,0.911008571,0.088991429,0.098948658,0.911008571,0.088991429,0.098948658,0.828157909,0.090943889,0.080898202
Archilochus alexandri,-1032860.562,-249032.7137,-857356.7154,-244560.9453,175560.8066,4471.768486,175503.8464,81.82672138,26,33,0.884657642,0.999000999,0.761238761,0.761238761,1,1,0.816183816,0.816183816,1,0.000999001,0.243756244,0.243756244,0.000999001,0.000999001,0.184815185,0.184815185,0.000999001,0.939648267,0.060351733,0.019131235,0.961769262,0.038230738,0.018377626,0.92273703,0.017997412,0.059265558
Archilochus colubris,1035473.147,215742.1061,999705.9633,254242.6896,52550.79805,38500.58346,-35767.18397,-36.1287174,258,314,0.827809298,1,1,1,1,1,1,1,1,0.001998002,0.145854146,0.145854146,0.001998002,0.002997003,0.157842158,0.157842158,0.000999001,1,0,0.038985886,1,0,0.037399715,0.961014114,0.038985886,0
Ardea herodias,403473.7874,317933.1831,510130.6896,316306.673,106669.3035,-1626.510156,106656.9022,93.65935075,437,472,0.908541962,1,0.741258741,0.741258741,1,1,0.784215784,0.784215784,1,0.001998002,0.265734266,0.265734266,0.001998002,0.000999001,0.231768232,0.231768232,0.000999001,0.9995211,0.0004789,0.000487021,0.9995211,0.0004789,0.000487021,0.999034545,0.000486788,0.000478667
Athene cunicularia,-688287.0116,287543.1087,-763691.8397,143766.583,162350.1692,-143776.5257,-75404.8281,-156.8217913,37,39,0.813416531,1,0.743256743,0.743256743,0.995004995,1,0.727272727,0.727272727,1,0.002997003,0.253746254,0.253746254,0.007992008,0.001998002,0.277722278,0.277722278,0.000999001,0.990365667,0.009634333,0.127281726,0.990365667,0.009634333,0.11391808,0.865371398,0.126210219,0.008418382
Aythya americana,-1042842.641,827204.8991,-915749.4037,903829.4231,148404.8809,76624.52396,127093.2375,51.04018921,22,23,0.758268679,0.993006993,0.71028971,0.71028971,0.996003996,0.993006993,0.76023976,0.76023976,0.997002997,0.005994006,0.310689311,0.310689311,0.003996004,0.006993007,0.225774226,0.225774226,0.000999001,0.910826171,0.089173829,0.078014224,0.934167499,0.065832501,0.07344813,0.845651828,0.071555194,0.082792978
Baeolophus bicolor,1052192.299,103468.612,1083694.122,149556.1067,55824.92342,46087.49477,31501.82377,42.20134432,386,414,0.919087336,0.997002997,0.928071928,0.928071928,1,0.994005994,0.933066933,0.933066933,1,0.006993007,0.076923077,0.076923077,0.004995005,0.005994006,0.063936064,0.063936064,0.000999001,0.98536063,0.01463937,0.000828377,0.98536063,0.01463937,0.000828377,0.984556319,0.00081626,0.01462742
Bartramia longicauda,34285.5143,632267.3421,-120051.2619,642107.6364,154650.1596,9840.294356,-154336.7762,-86.0532773,91,79,0.832292822,0.995004995,1,1,0.998001998,0.998001998,1,1,1,0.008991009,0.003996004,0.003996004,0.003996004,0.006993007,0.001998002,0.001998002,0.000999001,1,0,0.094879653,1,0,0.06844924,0.905120347,0.094879653,0
Bombycilla cedrorum,759303.5274,630293.9559,704512.4529,624498.3656,55096.73953,-5795.590264,-54791.07446,-90.36739458,368,399,0.93826761,0.997002997,0.939060939,0.939060939,1,1,0.999000999,0.999000999,1,0.000999001,0.05994006,0.05994006,0.000999001,0.002997003,0.006993007,0.006993007,0.000999001,0.989982132,0.010017868,0,0.992831463,0.007168537,0,0.989982132,0,0.010017868
Bonasa umbellus,432113.1988,910618.6098,685187.3497,881604.4811,254731.9091,-29014.12871,253074.1509,99.69202433,49,45,0.758417455,0.993006993,0.988011988,0.988011988,1,0.981018981,1,1,1,0.012987013,0.008991009,0.008991009,0.000999001,0.013986014,0.000999001,0.000999001,0.000999001,0.925296474,0.074703526,0.01623294,0.946049986,0.053950014,0.01623294,0.911381386,0.015038519,0.073580095
