"species","centroid_hist_X","centroid_hist_Y","centroid_rec_X","centroid_rec_Y","centroid_dist","centroid_NS_shift","centroid_EW_shift","n_cells_hist","n_cells_rec","D","shift_p_D_NA","shift_p_E_NA","shift_p_S_NA","shift_p_U_NA","shift_p_D_A","shift_p_E_A","shift_p_S_A","shift_p_U_A","cons_p_D_NA","cons_p_E_NA","cons_p_S_NA","cons_p_U_NA","cons_p_D_A","cons_p_E_A","cons_p_S_A","cons_p_U_A","range_stability_NA","range_expansion_NA","range_unfilling_NA","range_stability_A","range_expansion_A","range_unfilling_A","range_stability_std","range_unfilling_std","range_expansion_std","range_abandonment_std","range_pioneering_std"
"Ciconia ciconia",4898182.4638731,2868246.08187309,4788592.80377546,2814167.31732036,122206.408898488,-54078.7645527306,-109589.660097633,1173,1423,0.906784704318933,1,0.892107892107892,0.892107892107892,1,1,0.913086913086913,0.913086913086913,1,0.000999000999000999,0.0959040959040959,0.0959040959040959,0.000999000999000999,0.000999000999000999,0.101898101898102,0.101898101898102,0.000999000999000999,0.998474813208273,0.00152518679172693,0.00135739219879335,0.998474813208273,0.00152518679172693,0.00135739219879335,0.997121555603609,0.0013553247280377,0.00152311966835323,0,0
"Cinclus cinclus",4307581.23837043,3148679.5554405,4330651.48606375,3182505.95207041,40944.6142684886,33826.3966299137,23070.2476933189,1209,1207,0.932308498553071,1,1,1,1,1,1,1,1,0.001998001998002,0.041958041958042,0.041958041958042,0.001998001998002,0.000999000999000999,0.036963036963037,0.036963036963037,0.000999000999000999,1,0,0.0143484379623798,1,0,0.0143484379623798,0.98565156203762,0.0143484379623798,0,0,0
"Circus aeruginosus",4750160.52308314,3065751.50629392,4703550.88154437,3087365.59625501,51377.3059747102,21614.0899610943,-46609.6415387709,1361,1761,0.911912340313914,1,0.902097902097902,0.902097902097902,1,1,0.897102897102897,0.897102897102897,1,0.000999000999000999,0.0989010989010989,0.0989010989010989,0.000999000999000999,0.000999000999000999,0.0979020979020979,0.0979020979020979,0.000999000999000999,0.998429488059868,0.00157051194013171,0.00175232833687826,0.998429488059868,0.00157051194013171,0.00175232833687826,0.996682654698634,0.00174958109924133,0.00156776420212512,0,0
"Circus pygargus",4333420.35217399,2809380.25794589,4531949.45244533,2889358.54440529,214033.478595117,79978.2864593933,198529.100271335,910,1132,0.8884206506877,1,0.919080919080919,0.919080919080919,1,1,0.916083916083916,0.916083916083916,1,0.000999000999000999,0.0859140859140859,0.0859140859140859,0.000999000999000999,0.000999000999000999,0.0919080919080919,0.0919080919080919,0.000999000999000999,0.994115949311809,0.00588405068819121,0.000393042034484649,0.994285452886045,0.00571454711395488,0.000393042034484649,0.993727518129592,0.000390730258864915,0.00571134044484089,0,0.000170411166701749
"Coccothraustes coccothraustes",4633904.01167223,2936758.97139731,4677472.32903977,3007693.79320128,83246.3045582222,70934.8218039717,43568.3173675444,1585,1942,0.905284235503595,1,0.869130869130869,0.869130869130869,1,1,0.89010989010989,0.89010989010989,1,0.000999000999000999,0.116883116883117,0.116883116883117,0.000999000999000999,0.000999000999000999,0.133866133866134,0.133866133866134,0.000999000999000999,0.99389362045704,0.00610637954296023,0.000108948542088965,0.99389362045704,0.00610637954296023,0.000108948542088965,0.99378599834319,0.000108283332979178,0.00610571832383088,0,0
"Columba livia",4530659.62676908,3011995.9963791,4574048.86124588,2958714.70942796,68713.3262741087,-53281.2869511368,43389.2344768001,2104,2407,0.916899232665704,1,1,1,1,1,1,1,1,0.000999000999000999,0.483516483516484,0.483516483516484,0.000999000999000999,0.000999000999000999,0.4995004995005,0.4995004995005,0.000999000999000999,1,0,5.39520825391798e-05,1,0,5.39520825391798e-05,0.999946047917461,5.39520825391798e-05,0,0,0
"Columba oenas",4438774.64215321,3105300.77216344,4518566.63917994,3134136.36927219,84842.5273676573,28835.5971087464,79791.9970267303,1501,1595,0.933503190944556,1,0.948051948051948,0.948051948051948,1,1,0.942057942057942,0.942057942057942,1,0.000999000999000999,0.0569430569430569,0.0569430569430569,0.000999000999000999,0.000999000999000999,0.0589410589410589,0.0589410589410589,0.000999000999000999,0.996794491839473,0.00320550816052692,0.00307153067158732,0.996794491839473,0.00320550816052692,0.00307153067158732,0.993742591191852,0.00306171500003871,0.00319569380810909,0,0
"Columba palumbus",4488282.42402756,3124654.5651128,4538385.51475055,3106032.73628086,53451.7746107904,-18621.8288319376,50103.0907229958,2354,2538,0.950703517945334,1,0.476523476523477,0.476523476523477,1,1,0.498501498501498,0.498501498501498,1,0.000999000999000999,0.517482517482518,0.517482517482518,0.000999000999000999,0.001998001998002,0.49050949050949,0.49050949050949,0.001998001998002,0.999330880876005,0.000669119123994623,2.35104270197477e-05,0.999408253479878,0.000591746520122226,2.35104270197477e-05,0.999307401900643,2.3494696113017e-05,0.000591686806215668,0,7.74165970284732e-05
"Coracias garrulus",4782174.34821392,2605935.04872687,4889952.04280251,2402217.07376039,230471.353480811,-203717.974966485,107777.69458859,653,535,0.765903879638292,1,0.908091908091908,0.908091908091908,1,1,0.922077922077922,0.922077922077922,1,0.000999000999000999,0.0899100899100899,0.0899100899100899,0.000999000999000999,0.000999000999000999,0.0929070929070929,0.0929070929070929,0.000999000999000999,0.988435241290785,0.0115647587092151,0.0520976508021973,0.988435241290785,0.0115647587092151,0.0520976508021973,0.937504930933595,0.051526198408993,0.0109688706574119,0,0
"Coturnix coturnix",4530578.75661711,2762680.51867257,4570569.45897535,2977393.08805608,218404.999316347,214712.56938351,39990.7023582365,1797,2200,0.864610800405295,0.999000999000999,0.448551448551449,0.448551448551449,1,1,0.410589410589411,0.410589410589411,1,0.004995004995005,0.565434565434565,0.565434565434565,0.002997002997003,0.000999000999000999,0.551448551448551,0.551448551448551,0.000999000999000999,0.998297924982784,0.00170207501721638,0.000276350465584434,0.998297924982784,0.00170207501721638,0.000276350465584434,0.998022514325498,0.000275880226126535,0.00170160544837574,0,0
"Crex crex",4860957.2620005,3317510.47078467,4918851.94302399,3346086.84266034,64563.1715483911,28576.3718756675,57894.6810234804,1210,1438,0.90099215159879,1,0.94005994005994,0.94005994005994,1,1,0.951048951048951,0.951048951048951,1,0.000999000999000999,0.0569430569430569,0.0569430569430569,0.000999000999000999,0.000999000999000999,0.0589410589410589,0.0589410589410589,0.000999000999000999,0.991444243660625,0.00855575633937498,0.00629469059070179,0.991444243660625,0.00855575633937498,0.00629469059070179,0.985256470722637,0.00624117087526936,0.00850235840209377,0,0
"Cyanistes caeruleus",4561406.7341734,3020482.31283504,4569955.15267177,3076466.25272755,56632.8260350058,55983.9398925086,8548.41849836707,2396,2558,0.957612271258862,1,0.63036963036963,0.63036963036963,1,1,0.598401598401598,0.598401598401598,1,0.000999000999000999,0.406593406593407,0.406593406593407,0.000999000999000999,0.002997002997003,0.368631368631369,0.368631368631369,0.002997002997003,0.998195570288249,0.00180442971175046,0.000205177246758599,0.998195570288249,0.00180442971175046,0.000205177246758599,0.997991132753593,0.000204807094663678,0.00180406015174367,0,0
"Cygnus olor",4562551.35888857,3278668.5112863,4649236.26601887,3167704.71272985,140809.224535415,-110963.798556455,86684.9071302917,1174,1679,0.83576590904112,1,0.831168831168831,0.831168831168831,1,1,0.845154845154845,0.845154845154845,1,0.000999000999000999,0.168831168831169,0.168831168831169,0.000999000999000999,0.001998001998002,0.16983016983017,0.16983016983017,0.000999000999000999,0.961167089809404,0.0388329101905957,0,0.961299576959877,0.0387004230401227,0,0.961167089809404,0,0.0386950893138905,0,0.000137820876705233
"Dendrocopos major",4606463.6474224,3148665.43991004,4570024.21235021,3107514.57022704,54965.6847864834,-41150.8696829998,-36439.4350721827,2241,2387,0.959176413660172,1,0.93006993006993,0.93006993006993,1,1,0.911088911088911,0.911088911088911,1,0.000999000999000999,0.0749250749250749,0.0749250749250749,0.000999000999000999,0.000999000999000999,0.0699300699300699,0.0699300699300699,0.000999000999000999,0.997737694518386,0.00226230548161363,0,0.997737694518386,0.00226230548161363,0,0.997737694518386,0,0.00226230548161363,0,0
"Emberiza caesia",5509380.12709856,1811237.07829177,5669888.46075479,1750988.31633154,171443.397338127,-60248.7619602312,160508.333656225,91,37,0.524278070613627,0.934065934065934,0.873126873126873,0.873126873126873,0.908091908091908,0.945054945054945,0.889110889110889,0.889110889110889,0.92007992007992,0.0799200799200799,0.13986013986014,0.13986013986014,0.102897102897103,0.0779220779220779,0.118881118881119,0.118881118881119,0.0889110889110889,0.964451757262988,0.0355482427370122,0.405717081944185,0.972573312937171,0.0274266870628289,0.405717081944185,0.581544547918608,0.397020593783799,0.0163996277881505,5.55111512312578e-17,0.00503523050944253
"Emberiza calandra",4428712.93277227,2634189.65287121,4597675.80821582,2622013.40477867,169401.045733972,-12176.2480925401,168962.875443549,1600,1755,0.895525949922975,1,0.776223776223776,0.776223776223776,1,1,0.789210789210789,0.789210789210789,1,0.000999000999000999,0.224775224775225,0.224775224775225,0.000999000999000999,0.000999000999000999,0.234765234765235,0.234765234765235,0.000999000999000999,0.999623841523081,0.0003761584769193,0.000975064954857887,0.999623841523081,0.0003761584769193,0.000975064954857887,0.998649509630788,0.000974698533408473,0.000375791835803518,0,0
"Emberiza cia",4176761.93548821,2214327.53763874,4177066.24529748,2246685.88479553,32359.7780458914,32358.3471567901,304.309809261933,617,647,0.92962978148732,1,0.952047952047952,0.952047952047952,1,1,0.932067932067932,0.932067932067932,1,0.000999000999000999,0.048951048951049,0.048951048951049,0.000999000999000999,0.000999000999000999,0.047952047952048,0.047952047952048,0.000999000999000999,0.974680868635326,0.0253191313646743,0,0.974680868635326,0.0253191313646743,0,0.974680868635326,0,0.0253191313646743,0,0
"Emberiza cirlus",4137166.4926591,2254289.36179085,4174266.77065638,2252882.81182359,37126.9310647451,-1406.54996725684,37100.2779972865,877,962,0.948535359242505,1,0.792207792207792,0.792207792207792,1,1,0.799200799200799,0.799200799200799,1,0.001998001998002,0.203796203796204,0.203796203796204,0.001998001998002,0.000999000999000999,0.213786213786214,0.213786213786214,0.000999000999000999,0.98916673979227,0.0108332602077299,0,0.98916673979227,0.0108332602077299,0,0.98916673979227,0,0.0108332602077299,0,0
