"species","D","shift_p_D_NA","shift_p_E_NA","shift_p_S_NA","shift_p_U_NA","shift_p_D_A","shift_p_E_A","shift_p_S_A","shift_p_U_A","cons_p_D_NA","cons_p_E_NA","cons_p_S_NA","cons_p_U_NA","cons_p_D_A","cons_p_E_A","cons_p_S_A","cons_p_U_A","niche_stability_NA","niche_expansion_NA","niche_unfilling_NA","niche_stability_A","niche_expansion_A","niche_unfilling_A","niche_centroid_hist_X","niche_centroid_hist_Y","niche_centroid_rec_X","niche_centroid_rec_Y","niche_centroids_dist","niche_stability_std","niche_unfilling_std","niche_expansion_std","niche_abandonment_std","niche_pioneering_std"
"Ficedula hypoleuca",0.954299331657383,1,0.997002997002997,0.997002997002997,1,1,0.995004995004995,0.995004995004995,1,0.000999000999000999,0.00599400599400599,0.00599400599400599,0.000999000999000999,0.000999000999000999,0.00699300699300699,0.00699300699300699,0.000999000999000999,0.998024859760048,0.00197514023995196,0.00132203122683599,0.998024859760048,0.00197514023995196,0.00132203122683599,-0.171836017938731,1.17016566674925,-0.269472642448632,1.25512010489777,0.12942243625747,0.996708042331411,0.00131942347503611,0.00197253419355288,0,0
"Ficedula parva",0.83030310715879,0.999000999000999,0.991008991008991,0.991008991008991,0.995004995004995,0.998001998001998,0.993006993006993,0.993006993006993,1,0.003996003996004,0.00799200799200799,0.00799200799200799,0.002997002997003,0.002997002997003,0.00799200799200799,0.00799200799200799,0.004995004995005,0.97782065358218,0.02217934641782,0.00168268969660248,0.97782065358218,0.02217934641782,0.00168268969660248,-0.487604466527281,1.03295157652838,-0.313215283783169,1.12360838342185,0.196545780148747,0.976211717999501,0.00164543014793678,0.0221428518525626,0,0
"Ficedula semitorquata",0.569345594272491,0.941058941058941,0.988011988011988,0.988011988011988,0.996003996003996,0.939060939060939,0.984015984015984,0.984015984015984,0.996003996003996,0.0679320679320679,0.010989010989011,0.010989010989011,0.00599400599400599,0.0699300699300699,0.00999000999000999,0.00999000999000999,0.004995004995005,0.998691770275468,0.00130822972453236,0.173445995308123,0.998691770275468,0.00130822972453236,0.173445995308123,0.00171582422623371,-0.635616522329122,-0.379164451143788,-0.847224665297898,0.435715262914483,0.825660030385156,0.173258401681416,0.00108156793342776,0,0
"Fringilla montifringilla",0.890849050386437,1,0.968031968031968,0.968031968031968,0.991008991008991,1,0.971028971028971,0.971028971028971,0.996003996003996,0.001998001998002,0.021978021978022,0.021978021978022,0.00799200799200799,0.000999000999000999,0.02997002997003,0.02997002997003,0.00699300699300699,0.993231852621257,0.0067681473787425,0.0430442676266385,0.993231852621257,0.0067681473787425,0.041609460549535,0.547875425396251,2.05377737201839,0.54118162278997,2.45443545682795,0.400713997654939,0.950755898607379,0.0412779951667982,0.00647870487238317,0.00148740135343942,8.67361737988404e-19
"Gallinago gallinago",0.928969713252136,1,0.995004995004995,0.995004995004995,0.995004995004995,1,0.995004995004995,0.995004995004995,0.997002997002997,0.000999000999000999,0.00799200799200799,0.00799200799200799,0.00599400599400599,0.000999000999000999,0.001998001998002,0.001998001998002,0.002997002997003,0.996671526833564,0.003328473166436,0.000855909596851965,0.996671526833564,0.003328473166436,0.000855909596851965,0.0722395435515982,1.07895154322746,0.138035090510936,1.1841669223065,0.12409403690115,0.995821303076391,0.000853063154993792,0.00332563376861533,0,0
"Garrulus glandarius",0.963975099017422,1,0.987012987012987,0.987012987012987,1,1,0.985014985014985,0.985014985014985,1,0.002997002997003,0.021978021978022,0.021978021978022,0.002997002997003,0.000999000999000999,0.013986013986014,0.013986013986014,0.000999000999000999,0.999281316057313,0.000718683942687336,0.000320607276785582,0.999281316057313,0.000718683942687336,0.000320607276785582,0.0293905125686276,0.514317846985034,0.0162851691205511,0.507434831327553,0.0148029028042869,0.998961169371768,0.000320376935303595,0.000718453692928326,0,0
"Haematopus ostralegus",0.893401005981715,1,0.999000999000999,0.999000999000999,1,1,1,1,1,0.001998001998002,0.001998001998002,0.001998001998002,0.001998001998002,0.000999000999000999,0.001998001998002,0.001998001998002,0.000999000999000999,0.990466914202659,0.00953308579734142,0.000446033762848904,0.990466914202659,0.00953308579734142,0.000446033762848904,0.372726719102884,-0.542954227114318,0.415302810682928,-0.183264434113828,0.362200870737451,0.990029342200053,0.000441783563217382,0.00952887423672941,0,0
"Hieraaetus pennatus",0.76601909215142,0.999000999000999,0.993006993006993,0.993006993006993,1,0.999000999000999,0.992007992007992,0.992007992007992,1,0.004995004995005,0.010989010989011,0.010989010989011,0.000999000999000999,0.001998001998002,0.00999000999000999,0.00999000999000999,0.000999000999000999,0.96993643861602,0.0300635613839805,0.000198955109143671,0.96993643861602,0.0300635613839805,0.000198955109143671,0.221839954377725,-0.19534675115007,0.367975401474438,-0.0151880083579489,0.231975734727997,0.969749265166455,0.000192974964248261,0.0300577598692973,0,0
"Hippolais icterina",0.937586070065209,1,1,1,1,1,1,1,1,0.001998001998002,0.001998001998002,0.001998001998002,0.001998001998002,0.002997002997003,0.000999000999000999,0.000999000999000999,0.002997002997003,0.997212254833023,0.00278774516697669,0.00103008830870305,0.998186047674712,0.00181395232528816,0.00103008830870305,-0.31035021574469,0.981472961078985,-0.327205376286561,0.997579752196366,0.023313625994066,0.996187898824809,0.00102721963478716,0.00181032119183263,0,0.000974560348571757
"Hippolais olivetorum",0.796162781728578,1,0.845154845154845,0.845154845154845,1,0.998001998001998,0.827172827172827,0.827172827172827,0.998001998001998,0.000999000999000999,0.144855144855145,0.144855144855145,0.000999000999000999,0.003996003996004,0.145854145854146,0.145854145854146,0.003996003996004,0.95725107489962,0.0427489251003797,0.00334188708616276,0.957351783505443,0.0426482164945564,0.00334188708616276,2.23429085695429,0.449170143828527,1.79556684599749,0.0881057577491711,0.568195607766271,0.954188367229758,0.00319948209009115,0.0425072922653313,0,0.000104858414819074
