"BBS_species","BL_name","Sequence","Family1","Order1","Avibase.ID1","Total.individuals","Female","Male","Unknown","Complete.measures","Beak.Length_Culmen","Beak.Length_Nares","Beak.Width","Beak.Depth","Tarsus.Length","Wing.Length","Kipps.Distance","Secondary1","Hand-Wing.Index","Tail.Length","Mass","Mass.Source","Mass.Refs.Other","Inference","Traits.inferred","Reference.species","Habitat","Habitat.Density","Migration","Trophic.Level","Trophic.Niche","Primary.Lifestyle","Min.Latitude","Max.Latitude","Centroid.Latitude","Centroid.Longitude","Range.Size"
"Strix varia","Strix varia",2915,"Strigidae","Strigiformes","AVIBASE-7AA076EF",4,2,2,0,4,38.8,21.6,11.2,19.6,60.1,341.2,101,240.2,29.6,218.3,711.49,"Dunning","NA","NO","NA","NA","Forest",2,"1","Carnivore","Vertivore","Insessorial","16.809999999999999","60.28","43.93","-92.86","6628563.5199999996"
"Sturnella magna","Sturnella magna",10451,"Icteridae","Passeriformes","AVIBASE-27410227",13,4,8,1,6,33.5,20,6.1,8.2,39.8,108.1,28.4,86.1,24.8,67.4,91.76,"Dunning","NA","NO","NA","NA","Grassland",3,"2","Carnivore","Invertivore","Terrestrial","-2.91","50.71","30.39","-84.52","7031582.3600000003"
"Sturnella neglecta","Sturnella neglecta",10450,"Icteridae","Passeriformes","AVIBASE-4A5B4883",5,2,3,0,4,33.8,22,6.1,7.5,35,117,32.5,84.5,27.8,71.6,100.06,"Dunning","NA","NO","NA","NA","Grassland",3,"2","Omnivore","Invertivore","Terrestrial","21.43","56.55","42.66","-107.09","6719237.6799999997"
"Sturnus vulgaris","Sturnus vulgaris",8683,"Sturnidae","Passeriformes","AVIBASE-94A44032",28,11,17,0,10,30.2,18.5,6.6,6.5,29,128.3,49.2,79.1,38.4,65.8,77.14,"Dunning","NA","NO","NA","NA","Human Modified",3,"2","Omnivore","Omnivore","Insessorial","24.55","71.19","50.32","52.41","17082191.68"
"Tachycineta bicolor","Tachycineta bicolor",7735,"Hirundinidae","Passeriformes","AVIBASE-BBA2F9DF",10,4,6,0,4,10.8,5.9,3.8,2.8,12.2,115.9,61.3,54.3,53,54,21.2,"Dunning","NA","NO","NA","NA","Wetland",3,"3","Carnivore","Invertivore","Aerial","33","68.64","52.15","-107.17","11720977.550000001"
"Tachycineta thalassina","Tachycineta thalassina",7736,"Hirundinidae","Passeriformes","AVIBASE-75DC49AD",12,4,7,1,4,9.9,5,3.6,3,11.3,115.5,63.6,53,54.5,48.1,14.14,"Dunning","NA","NO","NA","NA","Forest",3,"3","Carnivore","Invertivore","Aerial","18.3","66.72","46.28","-121.35","6104146.6200000001"
"Thryomanes bewickii","Thryomanes bewickii",8615,"Troglodytidae","Passeriformes","AVIBASE-603194D3",5,2,3,0,4,15.5,10.1,2.6,3,17.5,54,7.3,46.1,13.8,51.2,9.9,"Dunning","NA","NO","NA","NA","Shrubland",2,"2","Carnivore","Invertivore","Generalist","16.27","50.41","33.54","-106.62","3360146.45"
"Thryothorus ludovicianus","Thryothorus ludovicianus",8613,"Troglodytidae","Passeriformes","AVIBASE-5217F951",13,3,6,4,10,16.9,11.1,3.2,3.9,21.4,59.4,6.8,52.6,11.4,50.7,18.96,"Dunning","NA","NO","NA","NA","Woodland",2,"1","Carnivore","Invertivore","Insessorial","21.45","45.64","35.21","-87.93","3040027.22"
"Toxostoma curvirostre","Toxostoma curvirostre",8837,"Mimidae","Passeriformes","AVIBASE-033B53E6",5,2,3,0,4,35.2,23.7,6.1,6.5,32.4,111.6,19.8,92.2,17.7,109.2,80.54,"Dunning","NA","NO","NA","NA","Shrubland",3,"1","Omnivore","Invertivore","Terrestrial","16.71","37.97","27.84","-103.65","2044910.56"
"Toxostoma rufum","Toxostoma rufum",8839,"Mimidae","Passeriformes","AVIBASE-C8F9F2D0",5,2,3,0,4,30.1,19.3,5.4,6.3,34.2,102.5,14,86.7,13.9,121.8,68.8,"Dunning","NA","NO","NA","NA","Shrubland",1,"2","Omnivore","Omnivore","Generalist","25.78","54.12","41.75","-92.94","5678627.8799999999"
"Tringa semipalmata","Tringa semipalmata",2533,"Scolopacidae","Charadriiformes","AVIBASE-E7A14E91",4,2,2,0,4,67.4,46,4.5,7.2,65.4,203.5,97,106.6,47.6,73.8,245.7,"Dunning","NA","NO","NA","NA","Coastal",3,"3","Carnivore","Aquatic predator","Terrestrial","17.47","55.38","42.76","-101.57","2508839.89"
