"species","Mass","Hand.Wing.Index","Trophic.Level","Habitat.Density","Range.Size","Migration","Centroid.Latitude","Centroid.Longitude","niche_breadth_zcor","region","range_shift","range_D","range_stability_std","range_unfilling_std","range_expansion_std","niche_D","niche_stability_std","niche_unfilling_std","niche_expansion_std","phylo_species"
"Pandion haliaetus",1483.2,44.9,3,3,31298390.01,3,49.18,25.45,7.61539968348456,"US",56084.6520263636,0.830479088386245,0.952103434639871,0.00444326682779965,0.0434532985323295,0.511378667231505,0.815357445880208,0.0086237430696653,0.141560376464252,"Pandion haliaetus"
"Parkesia motacilla",19.9,29.7,3,1,2411690.61,3,37.78,-85.92,5.20659285982582,"US",59194.7715511677,0.87877812665713,0.975252669088148,0.0226641190306086,0.00208321188124361,0.646884655452349,0.857477936978424,0.0715262025568314,0.0337136513526666,"Seiurus motacilla"
"Passerculus sandwichensis",19.97,24.1,2,3,13598359.75,3,54.37,-108.21,6.85422294027512,"US",24841.8741568629,0.927864240985458,0.990694499144669,0.00243028739955025,0.00687521345578083,0.767418668432768,0.928673937022249,0.0181075789189539,0.0374070595687383,"Passerculus sandwichensis"
"Passerina amoena",15.49,23.4,1,2,2824052.43,3,43.16,-112.04,5.27059857603095,"US",118294.344727089,0.867201759070912,0.953215828244693,0.0450237929073722,0.00176037884793481,0.759926184248573,0.910023986256512,0.0304812323807918,0.0101494086607157,"Passerina amoena"
"Passerina caerulea",27.39,22.9,3,2,5300267.2,3,32.93,-98.5,6.04003687317085,"US",99498.9121696484,0.874418397976154,0.968926700020487,0.000206419972469258,0.030866880007044,0.797368150641025,0.960588095891202,0.00351987191792924,0.0108254591786815,"Passerina caerulea"
"Passerina ciris",15.54,21.6,1,2,1410893.89,3,32.24,-97.06,5.30610062626349,"US",114962.313647607,0.861234783929739,0.914960219156086,0,0.0850397808439144,0.794701189700244,0.771694556562735,0.00512863472373983,0.210020592025873,"Passerina ciris"
"Passerina cyanea",14.69,22.5,1,2,5700834.65,3,39.21,-91.56,6.09078840246228,"US",9691.11608175566,0.952574765848022,0.99407677313042,0.00232925175267805,0.00359397511690148,0.812205771796164,0.944979247786714,0.0139215377480779,0.0256392452112226,"Passerina cyanea"
"Patagioenas fasciata",366.3,36.2,1,2,2624630.54,1,32.56,-109.86,6.52301141543588,"US",69726.0583037605,0.843563758246777,0.935703711682695,0.0200867311622926,0.0442095571550128,0.612199824003773,0.696001932578956,0,0.136160247372405,"Patagioenas fasciata"
"Petrochelidon pyrrhonota",21.6,49,3,3,11994340.08,3,46.7,-108.51,6.82370368771439,"US",259783.922427281,0.779745625670208,0.949212688314138,0.0189892381521059,0.0317980735337557,0.726142382513745,0.961570631140346,0.0095732254879115,0.00207422090292559,"Petrochelidon pyrrhonota"
"Peucaea cassinii",18.9,16.4,2,3,2032508.77,2,31.99,-103.38,5.13202000856361,"US",19636.6856110871,0.957403220379994,0.982674526918448,0.00553799956857102,0.0117874735129806,0.753275386238904,0.767792604666409,0.0759369386552012,0.15627045667839,"Aimophila cassinii"
"Phalacrocorax auritus",1806.49,40.8,3,3,4311610.21,2,46.01,-102.5,6.58664783028713,"US",245446.129776741,0.689742367363022,0.858337515046217,0.119016412048589,0.0226460729051941,0.632601589911611,0.856714814443298,0.0657977769855168,0.0296371743145294,"Phalacrocorax auritus"
"Pheucticus ludovicianus",42,26.5,1,2,3980871.24,3,47.76,-96.18,5.72122507547965,"US",8952.19289383609,0.927280159849807,0.983354816192029,0.0166451838079711,0,0.786712886448319,0.918633811061938,0.0164119235684597,0.0341612079619539,"Pheucticus ludovicianus"
"Pheucticus melanocephalus",47.13,24.2,3,2,4524419.42,3,39.12,-109.95,5.89192314286427,"US",76124.4248330125,0.903032209441745,0.938076363342061,0.0149683653086848,0.0469552713492545,0.64297691135832,0.842399501433074,0.00289512810672566,0.00617836147115265,"Pheucticus melanocephalus"
"Pica hudsonia",177.12,24.6,2,3,6726173.66,1,49.66,-114.6,6.51456959687958,"US",147289.724142523,0.886366915712876,0.827476161403176,0.134207479463242,0.0383163591335816,0.782960438535533,0.913886608687286,0.0411667143341601,0.0442183665096808,"Pica hudsonia"
"Pipilo chlorurus",29.4,16.8,2,2,1737517.52,3,39.82,-112.47,4.96641070400146,"US",9265.24663202553,0.906822944367748,0.931609138129408,0.0585768542101473,0.00981400766044436,0.690518082996341,0.850015351515435,0.101450663998825,0.0182042380614095,"Pipilo chlorurus"
"Pipilo erythrophthalmus",40.03,13.6,1,2,3162018.06,2,39.13,-85.4,5.6328570370594,"US",94528.3165137761,0.902387199667117,0.977935080626873,0.0028657351554092,0.0191991842177183,0.704435503369281,0.9001104941133,0.0320602385824308,0.0325336053883656,"Pipilo erythrophthalmus"
"Pipilo maculatus",39.28,13.7,2,2,3630810.42,2,41.83,-112.1,6.19156652026887,"US",94340.3285172743,0.912255085501498,0.960357278652398,0.00205588734776932,0.0375868339998326,0.58298270059879,0.821970937579641,0.0335835574157815,0.0018621060142766,"Pipilo maculatus"
"Piranga ludoviciana",28.1,28.6,3,1,3662121.88,3,48.1,-116.44,6.35661529664156,"US",18678.6635815368,0.891217989429906,0.946168219632854,0.0148221456973285,0.0390096346698179,0.688520992714069,0.87642096273944,0.00194956252674665,0.0152931224833812,"Piranga ludoviciana"
"Piranga olivacea",28.2,30.9,3,1,2605301.09,3,41.72,-85.13,5.43851479804949,"US",26184.2529492291,0.94085797943987,0.983788458031451,0.00999523564781044,0.00621630632073807,0.736911202288434,0.910306542112459,0.0284194730041261,0.0242362295186581,"Piranga olivacea"
"Piranga rubra",29.13,29.2,3,1,3269576.69,3,33.47,-93.77,5.72619860918325,"US",105466.683179862,0.897221304224146,0.98353201345382,0.00231144947140343,0.0141565370747768,0.819742004152389,0.957361591789726,0.012462720636719,0.0170607472838568,"Piranga rubra"
"Podilymbus podiceps",411.93,34,3,3,21361785.48,2,21.61,-86.81,7.24007753791989,"US",142634.963841944,0.796834346288925,0.887898018448255,0.0679804754211196,0.0441215061306252,0.663226452844024,0.862384761567517,0.106751271337828,0.00014173884575038,"Podilymbus podiceps"
"Poecile atricapillus",10.8,18.6,2,1,9078514.18,1,50.08,-104.99,6.59931236704949,"US",22695.2321459682,0.911302846551933,0.983515525053669,0.00131171645554405,0.0151727584907872,0.807310373211787,0.939674460412783,0.0112076433181804,0.0285743982155715,"Parus atricapillus"
"Poecile carolinensis",9.99,19.5,2,2,2312694.52,1,34.9,-88.36,5.24040026639558,"US",20872.8828657237,0.960421732229017,0.992160466783901,0.000652069500758635,0.00718746371534086,0.79425162250651,0.901786293152543,0.0486976305377803,0.0311083141241089,"Parus carolinensis"
"Poecile gambeli",11.19,19.2,2,1,2711124.48,1,44.25,-115.84,6.14932489493022,"US",50892.5844979621,0.906495796802593,0.969614519874126,0.00648106553273128,0.0239044145931427,0.701124233101966,0.831251346437949,0.137923265487028,0.0138269641393447,"Parus gambeli"
"Polioptila caerulea",5.8,19.1,3,2,6582606.18,3,33.81,-96.34,6.23346764151871,"US",89328.2577883816,0.840620585980951,0.984172743965682,0.0075919663349786,0.00823528969933967,0.70547268269892,0.931712950638305,0.00316818777625557,0.0445685091029367,"Polioptila caerulea"
"Pooecetes gramineus",25.68,23.9,2,3,6371227.47,3,46,-100.57,5.67082780204016,"US",229297.487182993,0.761301681688556,0.933260821042824,0.0667391789571763,0,0.806275702861085,0.947334866017351,0.0128176159723994,0.0318916917128866,"Pooecetes gramineus"
"Porzana carolina",74.8,33.4,2,1,9780642.26,3,48.73,-101.49,6.38714841378761,"US",156532.60242348,0.833198946116238,0.895687871045625,0.104190752375014,0.000121376579361422,0.716395798175459,0.884926755213958,0.0454223966872411,0.0689911639499164,"Porzana carolina"
"Progne subis",53.79,52,3,2,5698973.38,1,39.33,-93.05,6.14974116378263,"US",151633.080457428,0.789654298918656,0.962023384816205,0.0367239050290253,0.00125271015477005,0.76499680868722,0.928784660963391,0.0463275896661377,0.0189714034895406,"Progne subis"
"Protonotaria citrea",14.3,30,3,1,2173071.74,3,36.53,-88.1,5.31941139454912,"US",163087.507775363,0.744298388285885,0.935204024672009,0.0254722575836635,0.0393237177443272,0.708122076094971,0.876205048728219,0.03766664944766,0.0612274566516974,"Protonotaria citrea"
"Psaltriparus minimus",5.3,19.4,3,2,2692275.52,1,34.37,-110.86,6.10934107635858,"US",164971.977166511,0.674258267196939,0.789154638313556,0.00881007204739823,0.202035289639046,0.507989476786418,0.502108466300283,0.138504913057336,0.134300711216573,"Psaltriparus minimus"
"Quiscalus mexicanus",160.47,26.8,2,3,5121812.21,1,29.28,-101.43,6.71875602743093,"US",244343.56999675,0.47456520104167,0.619173134226339,0.000213424124848405,0.380613441648812,0.657662907829849,0.787973729720019,0,0.164367596179938,"Quiscalus mexicanus"
"Quiscalus quiscula",105.18,25.9,3,3,8216640.27,2,44.95,-93.93,6.16230194118773,"US",10090.9931883183,0.961702681706198,0.995421025496918,0.000551975012956653,0.00402699949012567,0.832166756099569,0.959117612654961,0.00530804836350882,0.00912111861320975,"Quiscalus quiscula"
"Regulus satrapa",6.19,23.6,3,1,6348089.15,3,49.81,-105.16,6.73087329135446,"US",705031.071892989,0.697991835042376,0.87866174055494,0.0671300338729242,0.0542082255721361,0.62787135595268,0.861743391976438,0.00373722111295533,0.00124238861461864,"Regulus satrapa"
"Riparia riparia",12.68,53,3,3,36583654.61,3,54.72,29.5,6.88745426061107,"US",418328.492625581,0.760273039711595,0.964160176999994,0.0344991473780838,0.00134067562192226,0.690931332301127,0.912359206965816,0.0429824973981731,0.0409241449826289,"Riparia riparia"
"Salpinctes obsoletus",16.37,17.3,3,3,5424173.4,1,37.18,-108.97,5.97972643406316,"US",39933.9612216765,0.907424360809759,0.94439419214326,0.0537028047606357,0.00190300309610437,0.549340471351943,0.776389808209886,0.185787531175997,0.00348183947049427,"Salpinctes obsoletus"
"Sayornis nigricans",18.63,22,3,2,2967593.66,1,17.12,-95.45,6.95684760772373,"US",41408.8968138789,0.795250222697647,0.899773369904648,0.0257226803173297,0.0745039497780218,0.722988138697538,0.771732062478785,0.0276767179115539,0.0806883755984732,"Sayornis nigricans"
"Sayornis phoebe",19.7,20.6,3,2,6246276.45,3,47.3,-95.73,5.98545817768443,"US",52612.0787235972,0.828909371309249,0.95495099920456,0,0.0450490007954399,0.762570512556876,0.925041535581411,0.00615876717895246,0.0489557234561939,"Sayornis phoebe"
"Sayornis saya",20.9,25.6,3,3,7204273.9,3,51.2,-122.26,6.62897525945244,"US",103765.200820794,0.8743806458902,0.917925479016112,0.0544181590683406,0.0276563619155477,0.738646357161023,0.930202901490231,0.0563692272146861,0.00403298650002519,"Sayornis saya"
"Seiurus aurocapilla",18.8,24.9,3,1,5222797.22,3,47.01,-92.45,5.81926377388232,"US",12349.7455899481,0.946138148406276,0.992411552225717,0.00386757235608272,0.00372087541820004,0.777682138327685,0.939729568927362,0.0133179539621814,0.00614319054325044,"Seiurus aurocapilla"
"Setophaga americana",7.84,28.1,3,2,3355702.9,3,39.96,-84.17,5.8839369189738,"US",98639.0284420008,0.815080003558308,0.942431450324299,0,0.0575685496757012,0.673669590518608,0.91093522385584,0.000279902587167326,0.017671042259902,"Parula americana"
"Setophaga caerulescens",10.14,24.1,3,1,1168234.94,3,44.91,-77.04,5.08129045663648,"US",65931.35954274,0.877869377722729,0.966296889991269,0.0165636175212938,0.0171394924874368,0.627227678014773,0.709644892268539,0.0391523995646976,0.130569398103464,"Dendroica caerulescens"
"Setophaga cerulea",9.04,33.2,3,1,1849163.51,3,40.57,-85.47,5.02621595204052,"US",142275.635038075,0.672979071861796,0.741668176694173,0.000265251680426342,0.258066571625401,0.37825110265256,0.523319241466016,0.0481106557006429,0.375710271598601,"Dendroica cerulea"
"Setophaga citrina",10.54,21.5,3,2,2007300.04,3,36.02,-85.15,5.08096036017276,"US",107152.12993207,0.844833454269541,0.951026680947002,0.000123881743944543,0.0488494373090537,0.618901335847076,0.867123602481288,0.0470797860308585,0.0223237422361416,"Wilsonia citrina"
"Setophaga coronata audoboni",11.94,25.8,3,1,3237248.7,3,45.14,-117.01,6.555517061447,"US",64464.769363575,0.908253372081821,0.970330334786192,0,0.0296696652138078,0.526920321624434,0.780185171686447,0.0782274831769846,0.0121284617452188,"Dendroica coronata"
"Setophaga discolor",7.64,20,3,2,1565603.51,3,35.89,-83.73,5.04699340605368,"US",21168.7074404686,0.887221489782591,0.970738890279792,0.0292611097202084,0,0.744546960773596,0.836855641027026,0.131552698111494,0.0117352961675383,"Dendroica discolor"
"Setophaga dominica",9.69,27.7,3,2,1925341.63,3,35.34,-87.05,5.11931028665237,"US",139894.235105488,0.773567546942433,0.900488331866464,0.00341613639841008,0.0960955317351255,0.575096631073303,0.814626261508315,0.0698730412960175,0.0514296652149526,"Dendroica dominica"
"Setophaga fusca",9.74,32.4,3,1,2026720.02,3,47.11,-82.52,5.3727382865682,"US",62195.2004464718,0.812369934585268,0.870297764835091,0,0.129702235164909,0.603338779031769,0.654766369497599,0.000948952414490728,0.21427264729776,"Dendroica fusca"
"Setophaga magnolia",8.14,21.1,3,1,3661483.1,3,52.19,-95.33,5.35483647194085,"US",108040.65706779,0.852281176952708,0.945169951642526,0.0159462839071681,0.0388837644503056,0.648643891584346,0.71214503037363,0.00113523522933246,0.14148793834964,"Dendroica magnolia"
"Setophaga nigrescens",8.7,23.4,3,1,1793686,3,40.07,-115.37,5.99323981694092,"US",27007.351906286,0.860694697546742,0.952990636597471,0.0098968570296327,0.0371125063728962,0.611273956872331,0.802112534863982,0.0111982075428831,0.0236927528461602,"Dendroica nigrescens"
"Setophaga pensylvanica",9.29,26.6,3,2,2422614.2,3,47.41,-83.82,5.39919676936597,"US",43249.8484095949,0.875145774514789,0.907214691194687,0.0927853088053125,0,0.781805953790393,0.917396827788298,0.0030641891571919,0.0146967444187114,"Dendroica pensylvanica"
"Setophaga petechia",10.22,23.6,3,1,15552185.22,3,50.59,-108.69,7.20316461958747,"US",87397.6022080236,0.915688950212354,0.988253369920567,0.0110189976701267,0.000727632409306018,0.786819746518138,0.940819053967099,0.0228613131532758,0.0144556260912916,"Dendroica petechia"
"Setophaga pinus",11.79,28.6,3,2,2073441.98,3,38.54,-83.72,5.71556729687407,"US",167398.055557591,0.769941336750084,0.921522434795313,0,0.0784775652046867,0.585183463777527,0.890659269978315,0.00519349109600892,0.0508143128330848,"Dendroica pinus"
"Setophaga ruticilla",8.24,24.6,3,1,6675504.95,3,47.72,-98.09,6.299950222061,"US",62520.9374972612,0.870702637795549,0.983057921916631,0.00428223770621574,0.012659840377153,0.743898851581702,0.92818349472191,0.0223439343294189,0.0282433430206248,"Setophaga ruticilla"
"Setophaga virens",8.69,26.5,2,1,3340613.66,3,49.03,-84.73,5.73096592216044,"US",39251.8481370492,0.8787136050318,0.940125087191298,0,0.0598749128087017,0.717177355809138,0.83874800790526,0.011506069046599,0.0541900456770749,"Dendroica virens"
"Sialia currucoides",29.6,36.6,2,3,4376669.8,3,49.97,-118.28,5.67676580660153,"US",51827.7238484694,0.781185750279632,0.822237133482221,0,0.177762866517779,0.856220736025959,0.925924643054204,0.0401203498843362,0.0333818130979912,"Sialia currucoides"
"Sialia mexicana",26.44,37.2,2,3,1779665.7,2,36.28,-112.01,5.88077829953378,"US",53210.5061601353,0.792345773090946,0.822938342745393,0.109918466845336,0.067143190409271,0.635943280791861,0.653154914727482,0.179570922659603,0.0931687593102784,"Sialia mexicana"
"Sialia sialis",27.5,32.8,3,2,5460000,2,38.51,-89.69,6.24470392923856,"US",91935.4839934029,0.876936430747207,0.986725877092461,0.00116128943156916,0.0121128334759703,0.760864559013416,0.938381065062805,0.0109679085657133,0.0318354179949432,"Sialia sialis"
"Sitta canadensis",9.8,26.2,2,1,7299100.07,3,49.37,-105.04,6.67536331039527,"US",213493.587014617,0.911028721142027,0.987316290111003,0.00637819370689234,0.00630551618210458,0.574752217691497,0.869179451065521,0.0352180298214249,0.0135495480080273,"Sitta canadensis"
"Sitta carolinensis",21,31.2,2,1,8811748.35,1,43.04,-102.26,6.26633821162518,"US",46768.8034895268,0.917374850975926,0.989677383131884,0.00772206045432536,0.00260055641379091,0.749438034713946,0.917940716961621,0.0129555696678175,0.0602792822391792,"Sitta carolinensis"
"Sitta pusilla",10.2,23.3,2,1,891316.4,1,32.71,-85.64,4.5192887375399,"US",88548.1091684849,0.875673139720881,0.94474175024444,0.0365356608453176,0.0187225889102423,0.644687217131086,0.695131803977779,0.180660120234701,0.0938567706185077,"Sitta pusilla"
"Spatula clypeata",612.56,58,2,3,27068888.24,3,55.88,22.06,6.81837409332594,"US",81992.6589250106,0.684417081508088,0.76155950626161,0.23844049373839,0,0.378916165067821,0.591597991407368,0.392945044138331,0,"Anas clypeata"
"Spatula discors",359.44,53.8,2,3,8349222.13,3,48.81,-105.19,6.56392824191645,"US",187559.894343086,0.740845299527898,0.799743616842046,0.159040191054928,0.0412161921030261,0.739194530280294,0.877604343123003,0.0583238536608014,0.063623895572523,"Anas discors"
"Sphyrapicus varius",50.3,33.9,2,1,4472315.75,3,52.85,-98.93,5.49317174224211,"US",81278.7168132735,0.81238982599864,0.842601301558031,0,0.157398698441969,0.596417004490958,0.594700528639233,0.000509304533189921,0.327171191096973,"Sphyrapicus varius"
"Spinus pinus",12.7,35.2,1,1,7806130.28,1,49.57,-108.01,6.74528437753196,"US",457910.591829771,0.840131096972622,0.96476071635947,0.000225495938867408,0.0350137877016627,0.482773622521699,0.832833647865976,0.058436876573721,0,"Carduelis pinus"
"Spinus psaltria",8.77,26,1,2,3951950.33,1,30.17,-106.31,6.71253926302462,"US",55345.6196772656,0.899294060823619,0.940230083897644,0.0533221782056938,0.00644773789666185,0.609558139520174,0.712771920598306,0.252543018411456,0.0260901097368607,"Carduelis psaltria"
"Spinus tristis",12.79,27.6,1,1,7802444.22,1,44.46,-96.32,6.1427728006304,"US",27680.0826574587,0.956118450304424,0.996345255416516,0.00279789615486043,0.000856848428623799,0.804473306963685,0.94916360677902,0.00820505352448703,0.0293836485068439,"Carduelis tristis"
"Spiza americana",26.18,26.4,2,3,3462252.57,3,39.97,-94.69,5.68544320961401,"US",96377.178793631,0.806083355837487,0.944826864278848,3.34980902867836e-05,0.0551396376308657,0.829704100901848,0.920086583272318,0.00178892656378878,0.0758597444835514,"Spiza americana"
"Spizella breweri",10.9,20.5,2,2,3238311.53,3,45.74,-115.39,5.90186137149358,"US",106184.569359314,0.874826281888773,0.942208085863017,0.0373455985424508,0.0204463155945318,0.721407879098005,0.873598728684972,0.0229166049984176,0.102837550738159,"Spizella breweri"
"Spizella pallida",11.2,18.6,2,2,3219955.48,3,51.68,-104.79,5.11049455104746,"US",45631.0594232349,0.86232675955317,0.916863278761355,0.00702190613845566,0.0761148151001895,0.712964257271218,0.787302426654634,0.00144791206122141,0.177264953500968,"Spizella pallida"
"Spizella passerina",12.2,24.2,2,2,13081064.54,3,47.04,-103.73,6.9484780154777,"US",24900.4145190133,0.925186119295836,0.995246113284527,0.00206963286165997,0.00268425385381353,0.833358661443017,0.964556356765833,0.0199220785471889,0.00637619050782386,"Spizella passerina"
"Spizella pusilla",12.5,16.7,2,2,3997616.97,2,39.43,-90.09,5.6811651904983,"US",64884.7571244055,0.889674126622917,0.976712274135063,0.0102818078720341,0.0130059179929029,0.783260391218901,0.926463203835116,0.038694387598468,0.0183302339906298,"Spizella pusilla"
"Stelgidopteryx serripennis",15.69,50.7,3,3,9837317.43,3,39.57,-100.58,6.56966405269818,"US",57541.3292396555,0.834598258310451,0.973267636834667,0.0216220155593573,0.00511034760597566,0.778303264686337,0.954114277491494,0.0137349904827645,0.0147828927589833,"Stelgidopteryx serripennis"
"Strix varia",711.49,29.6,3,2,6628563.52,1,43.93,-92.86,6.26150308631227,"US",115943.098013881,0.81232850405087,0.961978306342094,0,0.0380216936579056,0.661307088961912,0.907938353884225,0.00980171144206184,0.0393126477834893,"Strix varia"
"Sturnella magna",91.76,24.8,3,3,7031582.36,2,30.39,-84.52,6.98368251561475,"US",121593.926249097,0.84393467890439,0.980300735498792,0.0187774750906787,0.000921789410529535,0.811029892837045,0.951024659483003,0.0179051903544974,0.012272016780563,"Sturnella magna"
"Sturnella neglecta",100.06,27.8,2,3,6719237.68,2,42.66,-107.09,6.03753312816836,"US",245380.305791295,0.857451776227844,0.962989185631482,0.0277194059758585,0.00929140839265935,0.78655406476695,0.903972798208678,0.0793123457717166,0.00964919289438679,"Sturnella neglecta"
"Tachycineta bicolor",21.2,53,3,3,11720977.55,3,52.15,-107.17,6.71388144039334,"US",191597.355237086,0.831283566793452,0.97619621771246,0.000658025513201698,0.023145756774338,0.642669227189253,0.908923948341576,0.0359082352826577,0.0232610291335187,"Tachycineta bicolor"
"Tachycineta thalassina",14.14,54.5,3,3,6104146.62,3,46.28,-121.35,6.76650659780311,"US",101795.766773564,0.858182956878579,0.928586561126932,0.0447612138213371,0.0266522250517307,0.696307682329819,0.890077250256288,0,0.00776151593991905,"Tachycineta thalassina"
"Thryomanes bewickii",9.9,13.8,3,2,3360146.45,2,33.54,-106.62,5.92821583011916,"US",249924.352943301,0.908750852478909,0.876168835162895,0.122773102695411,0.00105806214169488,0.771298284694148,0.901676507157216,0.0501738308351497,0.00956365338786625,"Thryomanes bewickii"
"Thryothorus ludovicianus",18.96,11.4,3,2,3040027.22,1,35.21,-87.93,5.54108989077526,"US",156946.16189451,0.760421574087634,0.890846982501798,0,0.109153017498203,0.632747882623424,0.886885852687256,0,0.0805251361514505,"Thryothorus ludovicianus"
"Toxostoma rufum",68.8,13.9,2,1,5678627.88,2,41.75,-92.94,5.94071298978963,"US",74484.159219944,0.897457849617813,0.985553145441169,0.0108262074770802,0.00362064708175105,0.793679931641681,0.946031547362287,0.0128187079543721,0.00782290828447615,"Toxostoma rufum"
"Tringa semipalmata",245.7,47.6,3,3,2508839.89,3,42.76,-101.57,6.18477933270555,"US",67433.5295528541,0.877602811159007,0.920076734863518,0.0445864309769807,0.0353368341595007,0.647994451738506,0.843014674810594,0.0640664537660206,0.010740494691128,"Catoptrophorus semipalmatus"
"Troglodytes hiemalis",8.9,17,3,1,3348061.18,3,49.93,-87.13,5.46212576174632,"US",153844.761313362,0.81274948232587,0.79938395709891,0.107865023922409,0.0927510189786811,0.657626628342737,0.653738968552961,0.00317456204470477,0.222388014539646,"Troglodytes troglodytes"
"Tyrannus forficatus",39.3,37.5,2,2,1445850.08,3,33.46,-98.04,5.38856393148824,"US",28975.3583081739,0.832211725817892,0.904422356052264,0,0.0955776439477364,0.830719032027165,0.850881446804237,0.00201469599357072,0.121921484744098,"Tyrannus forficatus"
"Tyrannus tyrannus",39.85,33.3,3,2,9124093.16,3,45.77,-98.88,6.27201472039878,"US",18000.6008930067,0.947530238285736,0.994079845887196,0.00394957118749367,0.00197058292530993,0.839498495849364,0.962772880425133,0.0107876458297671,0.0156231876430962,"Tyrannus tyrannus"
"Tyrannus verticalis",39.6,33.2,3,3,5067458.79,3,40.94,-108.96,5.66964382868853,"US",66793.2346112999,0.888559491628413,0.961641345587445,0.014255373271257,0.0241032811412979,0.837639707326065,0.878572423295569,0.0625103519844079,0.0565504926258887,"Tyrannus verticalis"
"Vermivora chrysoptera",8.74,25.9,3,2,946202.7,3,43.32,-82.67,4.95705797404832,"US",428671.242380446,0.635987956968944,0.75123527520131,0.216881814360158,0.0318829104385326,0.468660406723817,0.763747771216435,0.169135313438194,0.0248674602926639,"Vermivora chrysoptera"
"Vermivora cyanoptera",8.9,25.2,3,1,1491745.35,3,39.65,-83.95,4.82291400028554,"US",130600.313476137,0.833323064398018,0.895874777605861,0.0084595503579836,0.0956656720361557,0.693282860853787,0.865907319023615,0.0320270754535711,0.0865083823959821,"Vermivora chrysoptera"
"Vireo bellii",8.5,19.4,3,2,2636566.53,3,34.81,-99.81,5.59738416116284,"US",97057.7545753128,0.738277734670077,0.927636185226631,0,0.0723638147733694,0.642627151003908,0.765441079415826,0.022508077139706,0.212050843444468,"Vireo bellii"
"Vireo cassinii",14.7,27.9,3,2,923209.39,3,45.02,-119.65,6.31918132889202,"US",54110.8682571221,0.705751314302253,0.800956369688789,0.187223645556519,0.0118199847546921,0.682324325398856,0.700956000592583,0.121031153850963,0.126186910913739,"Vireo cassinii"
"Vireo flavifrons",18,33.8,3,2,3167329.54,3,38.91,-86.42,5.53872816940749,"US",89832.6127411749,0.880819405424899,0.959335046981172,0.000114306244741127,0.0405506467740872,0.710380797297699,0.900264250791208,0.0250877224936413,0.042049220750123,"Vireo flavifrons"
"Vireo gilvus",12.67,23.5,3,1,9680437.56,3,45.21,-105.84,6.71895441683832,"US",39196.276061694,0.927454130775748,0.994583686411573,0.00401979249120476,0.00139652109722193,0.735456910551697,0.936710339488426,0.0213669788879382,0.0321379352753486,"Vireo gilvus"
"Vireo griseus",11.4,17.9,3,2,3034548.86,3,34.73,-88.7,5.50961911867672,"US",181909.644788037,0.859419338948833,0.962532312477238,0.0115591070715418,0.0259085804512207,0.691864010568502,0.900062958062753,0.0401737316323032,0.0238381336163315,"Vireo griseus"
"Vireo olivaceus",16.06,29.8,2,1,8742854.76,3,45.77,-96.24,6.28512548112485,"US",49257.4880853074,0.910550372850626,0.984261080135461,0.0116604360020298,0.0040784838625089,0.800550187736433,0.956398957742461,0.00977149004966733,0.0191770590562329,"Vireo olivaceus"
"Vireo solitarius",15.3,29.3,3,1,3329804.9,3,51.05,-92.77,5.45729672838488,"US",109747.802055402,0.862268770446298,0.925715471783332,0.0365368499432,0.0377476782734679,0.687348014272328,0.803654876510441,0.0173624328176946,0.0953392692764656,"Vireo solitarius"
"Xanthocephalus xanthocephalus",62.68,27,1,2,4756494.14,2,46.37,-108.09,5.28386600192382,"US",131725.305189493,0.925389902873158,0.97035064534345,0.0271436542277655,0.0025057004287843,0.828127028468746,0.917814061164414,0.0722714020820142,0.00420138118445622,"Xanthocephalus xanthocephalus"
"Aquila adalberti",2958.03,39.7,3,1,131221.76,2,39.06,-5.23,3.74858252419781,"Europe",67139.3377335944,0.691381084022854,0.742738631523325,0.028816062604331,0.228445305872344,0.6593796424001,0.863109504841271,0.0160913357530488,0.12079915940568,"Aquila adalberti"
"Aquila chrysaetos",4247.97,36.7,3,3,39450257.98,2,50.67,38.05,7.14034702489271,"Europe",106054.72530469,0.916476051366995,0.977063476765153,0.0229365232348473,0,0.934365965747307,0.9960673212001,0.00389941692915423,0,"Aquila chrysaetos"
"Buteo buteo",759.1,38.3,3,3,11719424.27,2,52.89,40.23,6.08482104238463,"Europe",20029.4317139684,0.976704696568263,0.999904066604305,9.59333956953796e-05,0,0.960802149046787,0.99913067691618,0.000800153204290455,6.91698795295177e-05,"Buteo buteo"
"Circus aeruginosus",704.07,45.6,3,3,13390803.81,2,50.03,51.14,5.98897815943889,"Europe",78514.8905869261,0.913978349317884,0.986802913530483,0.000428800546360182,0.0127682859231567,0.86735495334063,0.989719874096196,0.00105393660324472,0.00922618930055961,"Circus aeruginosus"
"Circus pygargus",310.75,52,3,3,6837154.32,3,49.91,45.8,5.60574404402521,"Europe",177716.823729753,0.895305623145123,0.993281879461905,0.000400848150026691,0.00631727238806834,0.859662707413237,0.987968141761154,0.00906654696917866,0.00296531126966736,"Circus pygargus"
"Hieraaetus pennatus",823.75,42,3,1,6138248.03,3,42.1,55.17,6.2230257474666,"Europe",113900.848850702,0.904386791004098,0.988627587167131,0.00444851635102254,0.00692389648184693,0.830200485245206,0.979813603212548,0.00174002869120157,0.0184463680962507,"Hieraaetus pennatus"
"Milvus milvus",1071.77,49.9,2,2,1698401.57,2,48.65,10.52,5.12686382275425,"Europe",197780.362049605,0.819919944706864,0.952529132833041,0.0236511150559248,0.0238197521110345,0.738722658768782,0.962149290923365,0.00819370926267165,0.029656999813963,"Milvus milvus"
