"species","D","shift_p_D_NA","shift_p_E_NA","shift_p_S_NA","shift_p_U_NA","shift_p_D_A","shift_p_E_A","shift_p_S_A","shift_p_U_A","cons_p_D_NA","cons_p_E_NA","cons_p_S_NA","cons_p_U_NA","cons_p_D_A","cons_p_E_A","cons_p_S_A","cons_p_U_A","niche_stability_NA","niche_expansion_NA","niche_unfilling_NA","niche_stability_A","niche_expansion_A","niche_unfilling_A","niche_centroid_hist_X","niche_centroid_hist_Y","niche_centroid_rec_X","niche_centroid_rec_Y","niche_centroids_dist","niche_stability_std","niche_unfilling_std","niche_expansion_std","niche_abandonment_std","niche_pioneering_std"
"Passerina ciris",0.715288401959459,0.986013986013986,0.993006993006993,0.993006993006993,0.998001998001998,0.99000999000999,0.997002997002997,0.997002997002997,0.999000999000999,0.013986013986014,0.00799200799200799,0.00799200799200799,0.003996003996004,0.00999000999000999,0.002997002997003,0.002997002997003,0.004995004995005,0.904135148151595,0.0958648518484052,0.00159562222260579,0.907982512473876,0.0920174875261236,0.00159562222260579,2.20486153503996,1.4075639656075,2.47080205569401,1.321638423281,0.279477296662628,0.902830590674865,0.00144287884327598,0.0914953773606046,0,0.00423115312125481
"Passerina cyanea",0.85066367722008,0.995004995004995,0.994005994005994,0.994005994005994,0.986013986013986,0.997002997002997,0.999000999000999,0.999000999000999,0.985014985014985,0.000999000999000999,0.003996003996004,0.003996003996004,0.014985014985015,0.003996003996004,0.001998001998002,0.001998001998002,0.00999000999000999,0.983549036923297,0.016450963076703,0.00618350758989854,0.984432995458505,0.0155670045414946,0.005977035247201,0.533309438961729,-0.947216446880048,0.802473036743205,-1.23409646147198,0.393381729548965,0.977566696623443,0.00587808411816847,0.0154584266030857,0.000204317546895369,0.000892475108407696
"Patagioenas fasciata",0.565108290573084,1,0.97002997002997,0.97002997002997,1,1,0.983016983016983,0.983016983016983,1,0.000999000999000999,0.01998001998002,0.01998001998002,0.000999000999000999,0.000999000999000999,0.016983016983017,0.016983016983017,0.000999000999000999,0.958935092048336,0.0410649079516643,0.104155236658922,0.961456470077377,0.038543529922623,0.0382392387811474,2.86081364566856,0.342273838426463,1.9488750826594,1.48713252517105,1.46367119098442,0.862747057782813,0.0343024919299885,0.0345863989397571,0.0660046457095991,0.00235940563784265
"Pelecanus erythrorhynchos",0.740800344453479,0.999000999000999,0.975024975024975,0.975024975024975,0.99000999000999,0.998001998001998,0.975024975024975,0.975024975024975,0.994005994005994,0.004995004995005,0.026973026973027,0.026973026973027,0.00799200799200799,0.002997002997003,0.025974025974026,0.025974025974026,0.00599400599400599,0.933184075237541,0.0668159247624589,0.0223005072092018,0.933334603979128,0.0666653960208723,0.0197738688676993,-2.95945483825333,0.926695438340937,-3.28039605588917,0.932593493385575,0.320995408426484,0.913735088831703,0.0184325608678708,0.0652654592419833,0.00240897181782951,0.000157919240613563
"Perdix perdix",0.831024871420093,0.999000999000999,0.992007992007992,0.992007992007992,0.997002997002997,0.998001998001998,0.99000999000999,0.99000999000999,0.999000999000999,0.001998001998002,0.012987012987013,0.012987012987013,0.003996003996004,0.002997002997003,0.00999000999000999,0.00999000999000999,0.003996003996004,0.944183525460934,0.0558164745390659,0.0534890923136653,0.944183525460934,0.0558164745390659,0.0534890923136653,-3.88197326557473,-0.393249755746234,-4.03547880058106,0.213882610251418,0.626237701771051,0.896356142007399,0.0506547531955578,0.0529891047970434,0,0
"Perisoreus canadensis",0.622736072449211,0.995004995004995,0.979020979020979,0.979020979020979,0.995004995004995,0.993006993006993,0.97002997002997,0.97002997002997,1,0.00599400599400599,0.016983016983017,0.016983016983017,0.00599400599400599,0.00799200799200799,0.022977022977023,0.022977022977023,0.000999000999000999,0.900962464659012,0.0990375353409881,0.0810050414685747,0.900962464659012,0.0990375353409881,0.0442632569771618,-3.31093790836697,-2.08296316154617,-3.14399214457213,-0.90088465441903,1.19380923311096,0.834676185647996,0.0386565513649731,0.0917510722998661,0.0349161906871648,1.38777878078145e-17
"Petrochelidon pyrrhonota",0.777627212031162,1,0.925074925074925,0.925074925074925,1,1,0.952047952047952,0.952047952047952,1,0.000999000999000999,0.0639360639360639,0.0639360639360639,0.000999000999000999,0.000999000999000999,0.0629370629370629,0.0629370629370629,0.000999000999000999,0.994526463595227,0.00547353640477262,0.0176275350434623,0.995512729530908,0.00448727046909182,0.00627015144422012,-1.807275432219,-0.186134209625009,-0.894993873792061,0.175018971479791,0.981167295657573,0.977089687960917,0.00616515678481891,0.00440422866768078,0.0113675849496502,0.000973341636932754
"Peucaea aestivalis",0.639525603951229,0.993006993006993,0.991008991008991,0.991008991008991,0.993006993006993,0.994005994005994,0.99000999000999,0.99000999000999,0.992007992007992,0.00899100899100899,0.011988011988012,0.011988011988012,0.00999000999000999,0.00699300699300699,0.00999000999000999,0.00999000999000999,0.00999000999000999,0.84319393505695,0.15680606494305,0.166206710167006,0.84319393505695,0.15680606494305,0.166206710167006,5.07407222100105,0.94180843459205,4.93017791218479,1.23289497204621,0.324710554797288,0.721862792112217,0.143894705476668,0.134242502411115,0,0
"Peucaea cassinii",0.85370298732377,0.999000999000999,1,1,0.998001998001998,1,1,1,1,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.002997002997003,0.002997002997003,0.004995004995005,0.004995004995005,0.00599400599400599,0.993682260252723,0.00631773974727682,0.056347096101092,0.993682260252723,0.00631773974727682,0.056347096101092,-0.582943599237547,3.55416925258571,-0.237143195755963,3.94241442812735,0.519915604092991,0.938025074505276,0.0560110489778613,0.00596387651686271,0,0
"Phainopepla nitens",0.663784550242397,0.997002997002997,1,1,0.997002997002997,0.997002997002997,1,1,0.999000999000999,0.002997002997003,0.003996003996004,0.003996003996004,0.002997002997003,0.002997002997003,0.003996003996004,0.003996003996004,0.001998001998002,1,0,0.214552955258502,1,0,0.209096967525044,0.106655168414852,5.21520417611648,0.244811165013547,5.34238499136846,0.187781892535822,0.785447044741498,0.207654527120751,0,0.00689842813775071,0
