"species","centroid_hist_X","centroid_hist_Y","centroid_rec_X","centroid_rec_Y","centroid_dist","centroid_NS_shift","centroid_EW_shift","n_cells_hist","n_cells_rec","D","shift_p_D_NA","shift_p_E_NA","shift_p_S_NA","shift_p_U_NA","shift_p_D_A","shift_p_E_A","shift_p_S_A","shift_p_U_A","cons_p_D_NA","cons_p_E_NA","cons_p_S_NA","cons_p_U_NA","cons_p_D_A","cons_p_E_A","cons_p_S_A","cons_p_U_A","range_stability_NA","range_expansion_NA","range_unfilling_NA","range_stability_A","range_expansion_A","range_unfilling_A","range_stability_std","range_unfilling_std","range_expansion_std","range_abandonment_std","range_pioneering_std"
"Sylvia atricapilla",4525562.05493038,3029105.02209753,4538254.06039456,3048360.97287956,23062.4942975113,19255.950782028,12692.0054641832,2380,2522,0.965442687426967,1,1,1,1,1,1,1,1,0.000999000999000999,0.315684315684316,0.315684315684316,0.000999000999000999,0.001998001998002,0.326673326673327,0.326673326673327,0.001998001998002,1,0,8.38312335144193e-06,1,0,8.38312335144193e-06,0.999991616876649,8.38312335144193e-06,0,0,0
"Sylvia borin",4525613.24565582,3346737.47997977,4589190.27528148,3348421.37735948,63599.325518497,1683.89737970009,63577.0296256626,1945,1957,0.958013534619809,1,1,1,1,1,1,1,1,0.000999000999000999,0.17982017982018,0.17982017982018,0.000999000999000999,0.000999000999000999,0.191808191808192,0.191808191808192,0.000999000999000999,1,0,0.00511782269478384,1,0,0.00511782269478384,0.994882177305216,0.00511782269478384,0,0,0
"Sylvia communis",4599225.93826714,3051927.75796122,4635607.06461878,3116465.6274881,74085.9160548218,64537.8695268775,36381.1263516378,2258,2291,0.956829719578075,1,0.918081918081918,0.918081918081918,1,1,0.905094905094905,0.905094905094905,1,0.001998001998002,0.0969030969030969,0.0969030969030969,0.001998001998002,0.000999000999000999,0.102897102897103,0.102897102897103,0.000999000999000999,0.997600661275337,0.00239933872466263,0.00106902186836846,0.997600661275337,0.00239933872466263,0.00106902186836846,0.99653676041508,0.00106645965821314,0.00239677992670639,0,0
"Sylvia conspicillata",3678337.20727169,1962989.16386335,3559969.65662484,1996386.13426186,122988.758339671,33396.9703985094,-118367.550646852,244,276,0.907201015313209,1,0.965034965034965,0.965034965034965,1,1,0.969030969030969,0.969030969030969,1,0.001998001998002,0.047952047952048,0.047952047952048,0.001998001998002,0.000999000999000999,0.035964035964036,0.035964035964036,0.000999000999000999,0.998170297332744,0.00182970266725562,0.00395203663604114,0.998170297332744,0.00182970266725562,0.00395203663604114,0.994232681096869,0.00394483410936755,0.00182248479376383,0,0
"Sylvia curruca",4837497.66045534,3332867.32604398,4850982.91608017,3331397.37925413,13565.1340882422,-1469.94678984908,13485.2556248298,1755,1811,0.969486296720555,1,1,1,1,1,1,1,1,0.001998001998002,0.143856143856144,0.143856143856144,0.001998001998002,0.000999000999000999,0.12987012987013,0.12987012987013,0.000999000999000999,1,0,0.00485348404564842,1,0,0.00485348404564842,0.995146515954352,0.00485348404564842,0,0,0
"Sylvia hortensis",4070274.39318418,2065011.77669089,3362313.43214525,2064336.71284934,707961.282886535,-675.063841542695,-707960.961038925,418,248,0.572434826267489,1,1,1,1,1,1,1,1,0.001998001998002,0.025974025974026,0.025974025974026,0.001998001998002,0.000999000999000999,0.041958041958042,0.041958041958042,0.000999000999000999,1,0,0.322798649841816,1,0,0.322798649841816,0.677201350158184,0.322798649841816,0,0,0
"Sylvia melanocephala",4225843.97818153,1997014.00623902,4157411.82810757,2026349.05081056,74454.7110917756,29335.044571544,-68432.1500739623,580,640,0.949768758835382,1,0.941058941058941,0.941058941058941,1,1,0.929070929070929,0.929070929070929,1,0.000999000999000999,0.0559440559440559,0.0559440559440559,0.000999000999000999,0.000999000999000999,0.0639360639360639,0.0639360639360639,0.000999000999000999,0.992857473589066,0.00714252641093409,0.00253698652174485,0.992857473589066,0.00714252641093409,0.00253698652174485,0.990356553309782,0.00251891167243103,0.00712453501778695,0,0
"Sylvia ruppeli",5616224.3091091,1685050.07777284,5627458.72790826,1672975.61649403,16492.5674450168,-12074.4612788076,11234.4187991638,40,31,0.840478557918868,1,1,1,1,1,1,1,1,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.978935663388621,0.0210643366113792,0.0149605280380925,0.978935663388621,0.0210643366113792,0.0149605280380925,0.964594245004506,0.0146500111503457,0.0207557438451479,0,0
"Sylvia undata",3495912.79385309,2197426.49894804,3473815.62965037,2224763.60444771,35151.130890802,27337.1054996699,-22097.1642027255,459,473,0.94745156433056,1,0.95004995004995,0.95004995004995,1,1,0.951048951048951,0.951048951048951,1,0.001998001998002,0.041958041958042,0.041958041958042,0.001998001998002,0.000999000999000999,0.038961038961039,0.038961038961039,0.000999000999000999,0.979320997286849,0.0206790027131512,0.00435483631207287,0.979320997286849,0.0206790027131512,0.00435483631207287,0.975144029947229,0.00426516673408591,0.020590803318685,0,0
"Tetrao urogallus",4757613.86317487,3851324.08549819,4812593.04364062,3856485.85282842,55220.9573138427,5161.76733023534,54979.1804657523,788,710,0.939168386827576,1,0.987012987012987,0.987012987012987,1,1,0.995004995004995,0.995004995004995,1,0.000999000999000999,0.018981018981019,0.018981018981019,0.000999000999000999,0.001998001998002,0.016983016983017,0.016983016983017,0.001998001998002,0.986120809662294,0.013879190337706,0.00354857903339332,0.986120809662294,0.013879190337706,0.00354857903339332,0.982669879903823,0.00349949998484743,0.0138306201113295,0,0
