"species","centroid_hist_X","centroid_hist_Y","centroid_rec_X","centroid_rec_Y","centroid_dist","centroid_NS_shift","centroid_EW_shift","n_routes_hist","n_routes_rec","D","shift_p_D_NA","shift_p_E_NA","shift_p_S_NA","shift_p_U_NA","shift_p_D_A","shift_p_E_A","shift_p_S_A","shift_p_U_A","cons_p_D_NA","cons_p_E_NA","cons_p_S_NA","cons_p_U_NA","cons_p_D_A","cons_p_E_A","cons_p_S_A","cons_p_U_A","range_stability_NA","range_expansion_NA","range_unfilling_NA","range_stability_A","range_expansion_A","range_unfilling_A","range_stability_std","range_unfilling_std","range_expansion_std"
"Aphelocoma californica",-2136499.94803227,458687.088500573,-2138459.35611492,441185.573743499,17610.8574131529,-17501.5147570738,-1959.40808264399,27,26,0.956328043476511,1,0.998001998001998,0.998001998001998,1,1,1,1,1,0.000999000999000999,0.001998001998002,0.001998001998002,0.000999000999000999,0.000999000999000999,0.002997002997003,0.002997002997003,0.000999000999000999,0.995898773119891,0.00410122688010923,0.00342703411923227,0.995898773119891,0.00410122688010923,0.00342703411923227,0.99249974367312,0.00341302704503025,0.00408722928184961
"Archilochus colubris",997990.68101345,242971.835178951,944266.441408857,269975.605297035,60129.0073232716,27003.7701180841,-53724.239604593,193,272,0.864562118970287,0.998001998001998,0.965034965034965,0.965034965034965,1,1,0.982017982017982,0.982017982017982,1,0.002997002997003,0.016983016983017,0.016983016983017,0.002997002997003,0.001998001998002,0.013986013986014,0.013986013986014,0.001998001998002,0.998452630190776,0.00154736980922363,0.0319911121415914,0.998452630190776,0.00154736980922363,0.0319911121415914,0.966558866805681,0.0319431913149468,0.00149794187937263
"Ardea alba",526921.439986983,-144018.612421432,255858.475968105,-32574.7417920729,293078.260475855,111443.870629359,-271062.964018878,43,91,0.826838265241789,1,0.987012987012987,0.987012987012987,1,1,0.989010989010989,0.989010989010989,1,0.001998001998002,0.00799200799200799,0.00799200799200799,0.001998001998002,0.000999000999000999,0.00999000999000999,0.00999000999000999,0.000999000999000999,0.981846270689421,0.0181537293105795,0.0389066461299259,0.981846270689421,0.0181537293105795,0.0389066461299259,0.944312894160872,0.0382273454093721,0.0174597604297557
"Ardea herodias",389444.690596658,352532.907524124,602990.340399212,301152.44817996,219639.923857236,-51380.4593441643,213545.649802554,265,353,0.794208150161778,0.997002997002997,0.7002997002997,0.7002997002997,1,0.993006993006993,0.669330669330669,0.669330669330669,1,0.00699300699300699,0.2997002997003,0.2997002997003,0.001998001998002,0.010989010989011,0.294705294705295,0.294705294705295,0.002997002997003,0.998266884209016,0.0017331157909845,0.0128404347643862,0.998266884209016,0.0017331157909845,0.0128404347643862,0.985470634029203,0.0128184660657673,0.00171089990502972
"Athene cunicularia",-726891.834743789,349109.894323047,-786689.534358116,350255.654274249,59808.675332522,1145.75995120127,-59797.6996143267,17,16,0.6597070513386,0.99000999000999,1,1,0.997002997002997,0.995004995004995,1,1,1,0.011988011988012,0.046953046953047,0.046953046953047,0.002997002997003,0.014985014985015,0.0589410589410589,0.0589410589410589,0.001998001998002,1,0,0.284532249624791,1,0,0.284532249624791,0.715467750375209,0.284532249624791,0
"Baeolophus bicolor",971304.059568284,127213.522476436,1033775.13068497,193785.337042772,91293.1608671786,66571.8145663363,62471.0711166848,294,325,0.896895070326451,0.999000999000999,0.943056943056943,0.943056943056943,1,0.999000999000999,0.941058941058941,0.941058941058941,1,0.00699300699300699,0.0539460539460539,0.0539460539460539,0.000999000999000999,0.004995004995005,0.051948051948052,0.051948051948052,0.001998001998002,0.978869506513224,0.0211304934867757,0.00174996905469638,0.978869506513224,0.0211304934867757,0.00174996905469638,0.977192649514367,0.0017130546898231,0.0210942957958099
"Bartramia longicauda",206689.723025359,592622.576555499,-77956.3430050736,604613.115236772,284898.501092,11990.5386812736,-284646.066030432,86,63,0.786528152336166,0.992007992007992,0.983016983016983,0.983016983016983,0.984015984015984,0.992007992007992,0.984015984015984,0.984015984015984,0.981018981018981,0.00899100899100899,0.022977022977023,0.022977022977023,0.02997002997003,0.004995004995005,0.013986013986014,0.013986013986014,0.013986013986014,0.99411274970762,0.00588725029238016,0.159057181757094,0.99411274970762,0.00588725029238016,0.159057181757094,0.836775541906769,0.15826897688127,0.00495548121196119
"Bombycilla cedrorum",890949.19695518,663685.256387142,821417.972378088,564648.244716771,121007.937226395,-99037.0116703702,-69531.2245770924,231,316,0.771609031154937,0.986013986013986,0.914085914085914,0.914085914085914,1,0.99000999000999,0.93006993006993,0.93006993006993,1,0.01998001998002,0.0929070929070929,0.0929070929070929,0.001998001998002,0.013986013986014,0.0829170829170829,0.0829170829170829,0.002997002997003,0.925631619285367,0.0743683807146329,0,0.925631619285367,0.0743683807146329,0,0.925631619285367,0,0.0743683807146329
"Bonasa umbellus",781554.249419181,783893.173396536,691975.099731212,895962.518521836,143471.119657,112069.345125301,-89579.1496879685,55,36,0.76478073079076,1,0.89010989010989,0.89010989010989,1,1,0.892107892107892,0.892107892107892,1,0.000999000999000999,0.104895104895105,0.104895104895105,0.000999000999000999,0.000999000999000999,0.123876123876124,0.123876123876124,0.000999000999000999,0.945263716260704,0.0547362837392958,0.068082777238829,0.945263716260704,0.0547362837392958,0.068082777238829,0.884202605082347,0.0645969057396005,0.0512004891780525
"Botaurus lentiginosus",416225.684850815,884388.370917254,160888.472441856,888687.168217578,255373.396615636,4298.79730032466,-255337.212408958,57,37,0.868280347311323,0.999000999000999,0.914085914085914,0.914085914085914,1,0.998001998001998,0.903096903096903,0.903096903096903,1,0.002997002997003,0.0969030969030969,0.0969030969030969,0.000999000999000999,0.002997002997003,0.0629370629370629,0.0629370629370629,0.000999000999000999,0.985489419046581,0.0145105809534191,0.0241663901255134,0.985489419046581,0.0145105809534191,0.0241663901255134,0.962011044116736,0.0238240761149514,0.0141648797683127
