species,D,shift_p_D_NA,shift_p_E_NA,shift_p_S_NA,shift_p_U_NA,shift_p_D_A,shift_p_E_A,shift_p_S_A,shift_p_U_A,cons_p_D_NA,cons_p_E_NA,cons_p_S_NA,cons_p_U_NA,cons_p_D_A,cons_p_E_A,cons_p_S_A,cons_p_U_A,niche_stability_NA,niche_expansion_NA,niche_unfilling_NA,niche_stability_A,niche_expansion_A,niche_unfilling_A,niche_centroid_hist_X,niche_centroid_hist_Y,niche_centroid_rec_X,niche_centroid_rec_Y,niche_centroids_dist,niche_stability_std,niche_unfilling_std,niche_expansion_std,niche_abandonment_std,niche_pioneering_std
Hieraaetus pennatus,0.783852214,1,0.983016983,0.983016983,0.998001998,1,0.986013986,0.986013986,0.999000999,0.000999001,0.01998002,0.01998002,0.002997003,0.000999001,0.011988012,0.011988012,0.001998002,0.968730123,0.031269877,0.003880161,0.968730123,0.031269877,0.003486268,-1.669507762,0.414637372,-1.754955858,0.663336227,0.262968624,0.96508839,0.003376327,0.031152325,0.000382957,0
Hippolais icterina,0.819331975,1,0.998001998,0.998001998,0.969030969,1,1,1,0.968031968,0.003996004,0.00999001,0.00999001,0.046953047,0.000999001,0.000999001,0.000999001,0.056943057,0.992786943,0.007213057,0.006698043,0.993934638,0.006065362,0.006698043,0.128726848,-1.570711494,-0.264849484,-1.279629412,0.489521304,0.98618486,0.006650051,0.00601807,0,0.00114702
Hippolais olivetorum,0.734639227,0.992007992,0.968031968,0.968031968,0.993006993,0.996003996,0.971028971,0.971028971,0.998001998,0.008991009,0.043956044,0.043956044,0.008991009,0.006993007,0.024975025,0.024975025,0.004995005,0.908844557,0.091155443,0.006982342,0.909726468,0.090273532,0.006982342,-3.157680389,2.015315167,-2.292904421,2.194740066,0.883193506,0.90307348,0.006349905,0.089613346,0,0.000963268
Hippolais polyglotta,0.860136618,1,0.992007992,0.992007992,0.997002997,1,0.991008991,0.991008991,1,0.000999001,0.006993007,0.006993007,0.000999001,0.001998002,0.004995005,0.004995005,0.001998002,0.985886024,0.014113976,0.005480366,0.985886024,0.014113976,0.005480366,-0.907978517,1.152609848,-0.628246246,1.16318817,0.279932214,0.980558854,0.005403435,0.014037712,0,0
Jynx torquilla,0.849850674,0.998001998,0.977022977,0.977022977,0.974025974,0.992007992,0.98001998,0.98001998,0.981018981,0.003996004,0.026973027,0.026973027,0.026973027,0.006993007,0.018981019,0.018981019,0.028971029,0.994687427,0.005312573,0.006051439,0.995041053,0.004958947,0.005147845,-0.085292798,-1.124748437,-0.435659752,-0.820428383,0.464077254,0.988699923,0.00511601,0.004927345,0.000903473,0.000353248
Lanius collurio,0.839195305,0.995004995,0.967032967,0.967032967,0.961038961,0.987012987,0.946053946,0.946053946,0.944055944,0.004995005,0.043956044,0.043956044,0.041958042,0.007992008,0.043956044,0.043956044,0.046953047,0.992230857,0.007769143,0.007676969,0.992230857,0.007769143,0.007676969,-0.19743622,-1.094942597,-0.444511294,-0.775757673,0.403639824,0.984672261,0.00761778,0.00770996,0,0
Lanius minor,0.780070787,0.998001998,0.977022977,0.977022977,0.991008991,0.999000999,0.967032967,0.967032967,0.987012987,0.001998002,0.024975025,0.024975025,0.00999001,0.005994006,0.038961039,0.038961039,0.017982018,0.983136603,0.016863397,0.022329121,0.983136603,0.016863397,0.022018643,-1.264268776,-1.256655201,-1.611478443,-1.2022918,0.351439799,0.961546092,0.021648613,0.016493062,0.000312233,0
Lanius senator,0.859252922,0.999000999,0.982017982,0.982017982,0.98001998,0.997002997,0.983016983,0.983016983,0.981018981,0.002997003,0.023976024,0.023976024,0.02997003,0.005994006,0.013986014,0.013986014,0.01998002,0.984792737,0.015207263,0.018251167,0.984792737,0.015207263,0.018251167,-1.592394857,1.168249442,-2.08532074,1.44246895,0.564067607,0.967087535,0.017978607,0.014933858,0,0
Larus ridibundus,0.853049752,1,0.993006993,0.993006993,0.99000999,1,1,1,1,0.003996004,0.005994006,0.005994006,0.008991009,0.000999001,0.000999001,0.000999001,0.000999001,0.997279654,0.002720346,0.009227185,0.998135,0.001865,0.007242217,0.145786614,-1.270976332,-0.215847283,-1.149460658,0.381503781,0.988102372,0.007208255,0.001846255,0.00199406,0.000849058
Limosa limosa,0.72793409,1,0.995004995,0.995004995,0.999000999,1,0.994005994,0.994005994,0.999000999,0.000999001,0.007992008,0.007992008,0.002997003,0.000999001,0.005994006,0.005994006,0.003996004,0.976268916,0.023731084,0.009148454,0.976423238,0.023576762,0.009148454,-0.448168359,-1.583024146,-0.397536149,-1.403436856,0.186588358,0.967547622,0.008933291,0.023362451,0,0.000156636
