species,centroid_hist_X,centroid_hist_Y,centroid_rec_X,centroid_rec_Y,Eucl_distance,NS_shift,EW_shift,shift_direction,n_cells_hist,n_cells_rec,D,shift_p_D_NA,shift_p_E_NA,shift_p_S_NA,shift_p_U_NA,shift_p_D_A,shift_p_E_A,shift_p_S_A,shift_p_U_A,cons_p_D_NA,cons_p_E_NA,cons_p_S_NA,cons_p_U_NA,cons_p_D_A,cons_p_E_A,cons_p_S_A,cons_p_U_A,rS_NA,rE_NA,rU_NA,rS_A,rE_A,rU_A,range_stability_std,range_unfilling_std,range_expansion_std
Aquila adalberti,2956344.881,1915488.849,3021949.403,1929762.513,67139.33773,14273.66328,65604.52125,65.86822437,30,42,0.691381084,0.982017982,0.927072927,0.927072927,0.977022977,0.976023976,0.927072927,0.927072927,0.971028971,0.021978022,0.070929071,0.070929071,0.038961039,0.032967033,0.084915085,0.084915085,0.041958042,0.764776478,0.235223522,0.037348049,0.764776478,0.235223522,0.037348049,0.742738632,0.028816063,0.228445306
Aquila chrysaetos,4425846.289,3164574.565,4417767.804,3270321.163,106054.7253,105746.5974,-8078.484233,-3.177172157,695,812,0.916476051,1,1,1,1,1,1,1,1,0.000999001,0.609390609,0.609390609,0.000999001,0.001998002,0.632367632,0.632367632,0.001998002,1,0,0.022936523,1,0,0.022936523,0.977063477,0.022936523,0
Branta leucopsis,4381394.264,4417172.054,4421728.221,3953124.537,465797.0861,-464047.5163,40333.95674,176.0613668,41,281,0.643554826,1,0.763236763,0.763236763,1,1,0.755244755,0.755244755,1,0.000999001,0.247752248,0.247752248,0.000999001,0.000999001,0.22977023,0.22977023,0.000999001,0.932356247,0.067643753,0.020835351,0.939745898,0.060254102,0.020371261,0.914218761,0.019453387,0.066327853
Buteo buteo,4527269.878,3050396.243,4509565.244,3041030.131,20029.43171,-9366.112175,-17704.63435,-115.6067611,1895,1936,0.976704697,1,1,1,1,1,1,1,1,0.000999001,0.487512488,0.487512488,0.000999001,0.000999001,0.507492507,0.507492507,0.000999001,1,0,9.59E-05,1,0,9.59E-05,0.999904067,9.59E-05,0
Caprimulgus ruficollis,3108632.125,1959143.689,3131781.099,1949247.647,25175.51696,-9896.04227,23148.9741,102.5904162,102,110,0.909129655,1,1,1,1,1,1,1,1,0.000999001,0.000999001,0.000999001,0.000999001,0.000999001,0.000999001,0.000999001,0.000999001,0.988951282,0.011048718,0.037239633,0.988951282,0.011048718,0.037239633,0.952515012,0.036843342,0.010641647
Carduelis carduelis,4480765.995,2891019.606,4484597.609,2970986.115,80058.25283,79966.5091,3831.614406,4.420569183,1765,1873,0.948466138,1,0.51048951,0.51048951,1,1,0.480519481,0.480519481,1,0.001998002,0.513486513,0.513486513,0.001998002,0.001998002,0.513486513,0.513486513,0.001998002,0.995496536,0.004503464,0,0.995496536,0.004503464,0,0.995496536,0,0.004503464
Carduelis citrinella,3841630.959,2421286.028,3827298.128,2397544.016,27732.88968,-23742.01195,-14332.83079,-153.3972649,140,138,0.904407441,0.998001998,0.998001998,0.998001998,1,1,1,1,1,0.000999001,0.000999001,0.000999001,0.000999001,0.001998002,0.002997003,0.002997003,0.001998002,0.950325625,0.049674375,0,0.950325625,0.049674375,0,0.950325625,0,0.049674375
Certhia brachydactyla,4249870.37,2627404.218,4264973.98,2627837.793,15109.83168,433.574157,15103.60973,87.63774963,1087,1126,0.968418142,1,0.976023976,0.976023976,1,1,0.97002997,0.97002997,1,0.000999001,0.030969031,0.030969031,0.000999001,0.000999001,0.030969031,0.030969031,0.000999001,0.996125478,0.003874522,0.000422755,0.996125478,0.003874522,0.000422755,0.995705991,0.000421118,0.003872891
Cettia cetti,3950033.023,2266205.711,3957174.473,2341040.939,75175.20691,74835.22851,7141.449907,2.150042551,598,671,0.923931682,0.999000999,0.9000999,0.9000999,1,1,0.91008991,0.91008991,1,0.000999001,0.087912088,0.087912088,0.000999001,0.000999001,0.087912088,0.087912088,0.000999001,0.995763486,0.004236514,0.006003216,0.995763486,0.004236514,0.006003216,0.989810876,0.005977936,0.004211188
Charadrius hiaticula,4305876.448,4078374.301,4335366.412,4075739.451,29607.43804,-2634.849545,29489.96363,94.89880178,626,637,0.954184974,1,0.885114885,0.885114885,1,1,0.877122877,0.877122877,1,0.000999001,0.124875125,0.124875125,0.000999001,0.000999001,0.140859141,0.140859141,0.000999001,0.999942615,5.74E-05,0.003405129,0.999942615,5.74E-05,0.003405129,0.996537876,0.003404934,5.72E-05
Ciconia ciconia,4814503.316,2918622.688,4692989.646,2863154.666,133574.9726,-55468.02151,-121513.6696,-109.282771,919,1109,0.896050237,1,0.9000999,0.9000999,1,0.999000999,0.893106893,0.893106893,1,0.003996004,0.095904096,0.095904096,0.000999001,0.000999001,0.101898102,0.101898102,0.000999001,0.996938209,0.003061791,0.000284312,0.996938209,0.003061791,0.000284312,0.996655634,0.000283442,0.003060923
Cinclus cinclus,4272710.506,3136730.838,4297583.144,3196247.777,64505.14807,59516.93907,24872.63741,22.13753786,1035,1018,0.925648359,1,0.958041958,0.958041958,1,1,0.961038961,0.961038961,1,0.000999001,0.036963037,0.036963037,0.000999001,0.001998002,0.040959041,0.040959041,0.001998002,0.999942079,5.79E-05,0.01978855,0.999942079,5.79E-05,0.01978855,0.980155798,0.019787427,5.68E-05
Circus aeruginosus,4692541.393,3099896.398,4631420.32,3149179.28,78514.89059,49282.88216,-61121.07304,-47.00619958,1179,1421,0.913978349,1,0.804195804,0.804195804,1,1,0.808191808,0.808191808,1,0.000999001,0.182817183,0.182817183,0.000999001,0.000999001,0.178821179,0.178821179,0.000999001,0.987226237,0.012773763,0.000434346,0.987226237,0.012773763,0.000434346,0.986802914,0.000428801,0.012768286
Circus pygargus,4344040.408,2833281.593,4490064.706,2934574.11,177716.8237,101292.5161,146024.298,55.501394,816,927,0.895305623,1,0.913086913,0.913086913,1,1,0.9000999,0.9000999,1,0.000999001,0.092907093,0.092907093,0.000999001,0.000999001,0.091908092,0.091908092,0.000999001,0.993680194,0.006319806,0.000403397,0.993776273,0.006223727,0.000403397,0.993281879,0.000400848,0.006317272
Coccothraustes coccothraustes,4582519.862,2981959.17,4585430.145,3060664.976,78759.59379,78705.80582,2910.28269,4.933806748,1398,1586,0.925266901,1,0.808191808,0.808191808,1,1,0.812187812,0.812187812,1,0.000999001,0.18981019,0.18981019,0.000999001,0.000999001,0.184815185,0.184815185,0.000999001,0.993217802,0.006782198,0.000143344,0.993217802,0.006782198,0.000143344,0.993076395,0.000142372,0.006781233
Columba oenas,4428725.759,3119239.641,4495933.014,3171924.663,85396.29152,52685.02209,67207.25446,53.11868318,1354,1377,0.932613705,1,0.859140859,0.859140859,1,1,0.866133866,0.866133866,1,0.000999001,0.151848152,0.151848152,0.000999001,0.000999001,0.135864136,0.135864136,0.000999001,0.993633929,0.006366071,0.002025893,0.993633929,0.006366071,0.002025893,0.991633723,0.002013022,0.006353256
Columba palumbus,4475848.082,3147931.324,4478977.133,3159703.995,12181.40962,11772.67086,3129.051154,16.63056265,1990,2029,0.981994039,1,0.191808192,0.191808192,1,1,0.388611389,0.388611389,1,0.000999001,0.819180819,0.819180819,0.000999001,0.000999001,0.588411588,0.588411588,0.000999001,0.999170111,0.000829889,9.48E-06,0.999790602,0.000209398,9.48E-06,0.999160649,9.47E-06,0.000829881
Coracias garrulus,4775090.373,2679012.989,4743127.53,2386670.321,294084.7824,-292342.6687,-31962.84249,-169.3732113,522,347,0.74487575,1,0.938061938,0.938061938,1,1,0.948051948,0.948051948,1,0.000999001,0.041958042,0.041958042,0.000999001,0.000999001,0.058941059,0.058941059,0.000999001,0.994450858,0.005549142,0.068906768,0.994450858,0.005549142,0.068906768,0.926280649,0.068550607,0.005168745
Crex crex,4818400.891,3335718.195,4852911.774,3392598.332,66530.82712,56880.13638,34510.88295,37.17139252,1086,1201,0.909069168,1,0.97002997,0.97002997,1,1,0.981018981,0.981018981,1,0.000999001,0.028971029,0.028971029,0.000999001,0.000999001,0.024975025,0.024975025,0.000999001,0.995105476,0.004894524,0.009083963,0.995105476,0.004894524,0.009083963,0.986109819,0.009039903,0.004850278
Cyanistes caeruleus,4503205.5,3079160.333,4508178.523,3137009.267,58062.29597,57848.93478,4973.022968,6.930097201,1965,2041,0.964579617,1,0.392607393,0.392607393,1,1,0.384615385,0.384615385,1,0.000999001,0.592407592,0.592407592,0.000999001,0.000999001,0.605394605,0.605394605,0.000999001,0.998230769,0.001769231,0.000309476,0.998230769,0.001769231,0.000309476,0.997922387,0.000308929,0.001768685
Cygnus olor,4518423.197,3271096.495,4559322.73,3187966.154,92646.77734,-83130.34098,40899.53251,156.0884832,1039,1413,0.84957204,0.997002997,0.848151848,0.848151848,1,0.996003996,0.853146853,0.853146853,1,0.003996004,0.167832168,0.167832168,0.001998002,0.002997003,0.156843157,0.156843157,0.000999001,0.958621335,0.041378665,0,0.958760123,0.041239877,0,0.958621335,0,0.041378665
Dendrocopos major,4534935.234,3158503.65,4509659.15,3149489.979,26835.17616,-9013.670743,-25276.08394,-107.2054095,1900,1943,0.973870765,1,0.958041958,0.958041958,1,1,0.949050949,0.949050949,1,0.000999001,0.045954046,0.045954046,0.000999001,0.001998002,0.048951049,0.048951049,0.001998002,0.996679161,0.003320839,0,0.996679161,0.003320839,0,0.996679161,0,0.003320839
Emberiza calandra,4392548.3,2697202.996,4486099.98,2674823.424,96191.27823,-22379.57142,93551.67978,104.227233,1328,1331,0.933778848,1,0.607392607,0.607392607,1,1,0.605394605,0.605394605,1,0.000999001,0.384615385,0.384615385,0.000999001,0.000999001,0.387612388,0.387612388,0.000999001,0.999302388,0.000697612,0.001574677,0.999302388,0.000697612,0.001574677,0.997729906,0.00157358,0.000696514
