species,D,shift_p_D_NA,shift_p_E_NA,shift_p_S_NA,shift_p_U_NA,shift_p_D_A,shift_p_E_A,shift_p_S_A,shift_p_U_A,cons_p_D_NA,cons_p_E_NA,cons_p_S_NA,cons_p_U_NA,cons_p_D_A,cons_p_E_A,cons_p_S_A,cons_p_U_A,nS_NA,nE_NA,nU_NA,nS_A,nE_A,nU_A,n_centroid_hist_X,n_centroid_hist_Y,n_centroid_rec_X,n_centroid_rec_Y,n_centroids_dist,niche_stability_std,niche_unfilling_std,niche_expansion_std,niche_abandonment_std,niche_pioneering_std
Sylvia atricapilla,0.956316718,1,1,1,1,1,1,1,1,0.000999001,0.000999001,0.000999001,0.000999001,0.001998002,0.001998002,0.001998002,0.001998002,0.998847769,0.001152231,2.82E-05,0.998847769,0.001152231,2.82E-05,-0.20135072,0.35518786,-0.234176867,0.340797854,0.03584171,0.998819672,2.81E-05,0.001152199,0,0
Sylvia borin,0.959068824,1,1,1,1,1,1,1,0.998001998,0.000999001,0.000999001,0.000999001,0.001998002,0.000999001,0.000999001,0.000999001,0.003996004,0.999491211,0.000508789,0.005602275,0.999498418,0.000501582,0.005602275,0.399541511,0.781273217,0.421685505,0.785277765,0.022503175,0.993894619,0.00559944,0.00049877,0,7.17E-06
Sylvia communis,0.951451656,1,1,1,0.997002997,1,1,1,0.998001998,0.001998002,0.001998002,0.001998002,0.007992008,0.001998002,0.001998002,0.001998002,0.005994006,0.999725312,0.000274688,0.002796196,0.999725312,0.000274688,0.002796196,-0.2246135,0.42556798,-0.292739413,0.469920786,0.081291521,0.99693065,0.00279543,0.000273921,0,0
Sylvia conspicillata,0.898425891,1,0.977022977,0.977022977,1,1,0.975024975,0.975024975,1,0.000999001,0.01998002,0.01998002,0.000999001,0.001998002,0.02997003,0.02997003,0.001998002,0.979056882,0.020943118,0.000704139,0.979056882,0.020943118,0.000704139,2.374385177,-0.843303748,1.900671522,-0.81639039,0.474477561,0.978381918,0.000689403,0.02092868,0,0
Sylvia hortensis,0.842609749,1,0.999000999,0.999000999,1,0.999000999,0.999000999,0.999000999,0.999000999,0.000999001,0.001998002,0.001998002,0.000999001,0.000999001,0.000999001,0.000999001,0.000999001,0.980326226,0.019673774,0.023648299,0.980326226,0.019673774,0.023648299,1.047257087,-0.929614853,1.266435175,-1.170888396,0.325963121,0.957588699,0.023193838,0.019217463,0,0
Sylvia melanocephala,0.883150381,1,0.998001998,0.998001998,1,1,1,1,1,0.001998002,0.002997003,0.002997003,0.001998002,0.000999001,0.005994006,0.005994006,0.000999001,0.993445806,0.006554194,0.003126574,0.993445806,0.006554194,0.003094851,1.693089117,0.152582517,1.344078635,0.299195509,0.378554733,0.990360018,0.003074532,0.006533836,3.16E-05,8.67E-19
Sylvia undata,0.949879028,1,0.992007992,0.992007992,1,1,0.998001998,0.998001998,1,0.000999001,0.004995005,0.004995005,0.000999001,0.001998002,0.007992008,0.007992008,0.000999001,0.997582259,0.002417741,5.78E-05,0.997582259,0.002417741,1.38E-05,1.165474192,-0.460589475,1.01386367,-0.394025693,0.165579248,0.997524784,1.38E-05,0.002417601,4.38E-05,0
Tetrao urogallus,0.876615488,1,0.892107892,0.892107892,1,1,0.87012987,0.87012987,1,0.000999001,0.107892108,0.107892108,0.000999001,0.000999001,0.102897103,0.102897103,0.000999001,0.999032699,0.000967301,0.011185756,0.999032699,0.000967301,0.011185756,1.787630349,1.693515292,1.905900161,1.923930565,0.258996035,0.987868451,0.011175057,0.000956492,0,0
Tringa totanus,0.942931847,1,1,1,1,1,0.998001998,0.998001998,1,0.000999001,0.003996004,0.003996004,0.000999001,0.002997003,0.003996004,0.003996004,0.002997003,0.999423167,0.000576833,0.001633157,0.999423167,0.000576833,0.001633157,0.270569669,1.346052034,0.360352856,1.500690014,0.178812543,0.997791892,0.001632217,0.000575892,0,0
Troglodytes troglodytes,0.96945471,1,1,1,1,1,1,1,1,0.002997003,0.002997003,0.002997003,0.002997003,0.001998002,0.001998002,0.001998002,0.001998002,0.99992127,7.87E-05,0.000472209,0.99992127,7.87E-05,0.000472209,0.125138802,0.159354676,0.187425189,0.165603359,0.062599042,0.999449135,0.000472172,7.87E-05,0,0
Turdus iliacus,0.946207351,1,1,1,1,1,1,1,1,0.001998002,0.001998002,0.001998002,0.003996004,0.000999001,0.000999001,0.000999001,0.000999001,0.998588001,0.001411999,0.011267239,0.998588001,0.001411999,0.011267239,1.039779515,1.320700715,0.918471879,1.74717099,0.443387458,0.98735238,0.011251509,0.001396111,0,0
Turdus philomelos,0.962863576,1,0.992007992,0.992007992,1,1,0.987012987,0.987012987,1,0.000999001,0.011988012,0.011988012,0.000999001,0.000999001,0.006993007,0.006993007,0.000999001,0.998654461,0.001345539,0.000335078,0.998654461,0.001345539,0.000335078,-0.465486505,0.718040588,-0.403953073,0.634027754,0.104137023,0.998320284,0.000334627,0.001345089,0,0
Turdus torquatus,0.954845636,1,1,1,1,1,1,1,1,0.001998002,0.001998002,0.001998002,0.001998002,0.000999001,0.000999001,0.000999001,0.000999001,0.999801401,0.000198599,0.005476855,0.99986708,0.00013292,0.005476855,2.802551503,-0.771290082,2.953383487,-0.530609626,0.284037619,0.994326715,0.005475774,0.000132183,0,6.53E-05
Turdus viscivorus,0.853750209,0.995004995,0.987012987,0.987012987,0.999000999,0.994005994,0.991008991,0.991008991,1,0.003996004,0.00999001,0.00999001,0.002997003,0.007992008,0.013986014,0.013986014,0.000999001,0.995308796,0.004691204,0.000207857,0.995308796,0.004691204,0.000138702,0.272915689,0.304684167,0.30050993,0.317656771,0.030491484,0.995102884,0.000138042,0.004690234,6.88E-05,0
Vanellus vanellus,0.93441805,1,1,1,1,1,1,1,1,0.000999001,0.000999001,0.000999001,0.000999001,0.002997003,0.002997003,0.002997003,0.002997003,0.998139622,0.001860378,0.000468596,0.998139622,0.001860378,0.000468596,0.236900066,0.978099766,0.163025734,0.973618502,0.074010126,0.997672767,0.000467725,0.001859508,0,0
